metric,value
shared_ray_performance.graph_equivalence.dx_max_absolute_error,0.0
shared_ray_performance.graph_equivalence.dn_max_absolute_error,0.0
coverage_comparison.sobol.angular_gap_p50_radians,0.024552587148092164
coverage_comparison.sobol.angular_gap_p90_radians,0.03837824438621116
coverage_comparison.sobol.angular_gap_p95_radians,0.041632607472639103
coverage_comparison.sobol.largest_angular_gap_radians,0.049001248595833324
coverage_comparison.sobol.sectors_with_zero_samples,0
coverage_comparison.sobol.radial_gap_p50,0.0038865208625793457
coverage_comparison.sobol.radial_gap_p90,0.006068485975265615
coverage_comparison.sobol.radial_gap_p95,0.006576517969369889
coverage_comparison.sobol.radial_stratum_occupancy_minimum,16
coverage_comparison.sobol.radial_stratum_occupancy_maximum,16
coverage_comparison.sobol.inner_mid_outer_sample_fractions[0],0.11118698120117188
coverage_comparison.sobol.inner_mid_outer_sample_fractions[1],0.3332023620605469
coverage_comparison.sobol.inner_mid_outer_sample_fractions[2],0.5556106567382812
coverage_comparison.sobol.nearest_neighbor_distance_mean,0.07458748179324247
coverage_comparison.sobol.nearest_neighbor_distance_p95,0.10917385259296129
coverage_comparison.sobol.polar_cell_occupancy_variance_mean,0.0
coverage_comparison.stratified.angular_gap_p50_radians,0.3930426983073989
coverage_comparison.stratified.angular_gap_p90_radians,0.5009307668388072
coverage_comparison.stratified.angular_gap_p95_radians,0.526659653228746
coverage_comparison.stratified.largest_angular_gap_radians,0.5865544819135318
coverage_comparison.stratified.sectors_with_zero_samples,0
coverage_comparison.stratified.radial_gap_p50,0.060331017427215416
coverage_comparison.stratified.radial_gap_p90,0.07893732806061225
coverage_comparison.stratified.radial_gap_p95,0.08327465725178969
coverage_comparison.stratified.radial_stratum_occupancy_minimum,16
coverage_comparison.stratified.radial_stratum_occupancy_maximum,16
coverage_comparison.stratified.inner_mid_outer_sample_fractions[0],0.125
coverage_comparison.stratified.inner_mid_outer_sample_fractions[1],0.3125
coverage_comparison.stratified.inner_mid_outer_sample_fractions[2],0.5625
