active_bases_per_query,active_k,active_parameters_per_affected_pixel,actual_batch_size,best_remaining_candidate_score,birth_count,birth_round,birth_top10_fraction,birth_top25_fraction,candidate_jacobian_nnz,cg_failures,cumulative_optimization_seconds,cumulative_scoring_seconds,geometry_rms_error,gradient_norm,image_loss,independent_sum_gain,joint_to_independent_ratio,last_new_only_gain,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_step_relative_improvement,line_search_failures,median_affected_pixels,median_affected_views,method,minimum_denominator_magnitude,near_null_candidate_fraction,no_birth_continuation_gain,nominal_batch_size,nonfinite_candidate_score_count,normal_consistency,normal_error,optimizer_steps,pairwise_correlation_max,pairwise_correlation_mean,peak_allocated_mib,peak_reserved_mib,phase,point_to_surface_mean,point_to_surface_p95,predicted_batch_gain,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean,requested_k,residual_norm,responsive_candidate_fraction,rho_off,root_failures,selection_seed,surface_rms,symmetric_chamfer,target_regime,target_seed,total_runtime_seconds,zero_jacobian_candidate_fraction
2.6119384765625,32,2.824718008771833,0,1.0468495992092166,0,0,,,2726522.0,0,1.7525951580610126,0.0777103730943054,0.0028336085124495564,0.3252564837687281,36.57236256266609,,,,,,,3.5764155890484945e-08,0,388.0,2.0,p1,0.38623930760295955,0.021169353276491165,0.0,0,0.0,0.9850810164076027,0.014918983592397295,5,0.0,0.0,282.7607421875,354.0,A,0.002578329746078151,0.0067544522584080495,,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833,32,8.552468949100733,0.9808467626571655,0.0,0,0,0.0058290160577305255,0.009293792131943443,bunny,0,1.903854032047093,0.019153226166963577
2.9947509765625,64,3.1216068142818747,1,0.09387069902317087,32,32,1.0,1.0,2720642.0,0,15.220128568122163,1.6145916285458952,0.0025771647331477615,16.802511891170983,32.38824915553993,0.09997718415819117,1.0,,0.09997718415819117,16.57193913198357,0.05035215503741597,0.0015522295352789304,0,382.0,2.0,p1,0.46535679460452906,0.02187500149011612,0.0,1,0.0,0.985449582751831,0.014550417248168968,37,0.0,0.0,297.3623046875,354.0,A,0.0024344024475267422,0.005964122566568534,0.09997718415819117,0.002347220815163212,0.0016776344435588488,0.004443416068880003,0.001579723004953968,64,8.048384826229412,0.9791667461395264,0.0,0,0,0.005713921387136643,0.00920215865259462,bunny,0,20.16481805499643,0.02083333395421505
3.255859375,96,3.4244159202142397,1,0.05398365333619999,64,64,0.0,0.0,2719053.0,0,28.453894874546677,3.1535830749198794,0.002517305357677901,5.407114986401653,31.2256186608594,0.054462949281820314,1.0,,0.054462949281820314,4.457565794001329,0.026652944217403274,0.0008528322214204412,0,370.0,2.0,p1,0.47172244730757973,0.022629309445619583,0.0,1,0.0,0.9855234069551139,0.014476593044886132,69,0.0,0.0,298.3076171875,354.0,A,0.0023787240971983427,0.00587456564830131,0.054462949281820314,0.0022212270520428116,0.0016779334177007056,0.004380741697689378,0.001535874725060096,96,7.9026095260817995,0.9784482717514038,0.0,0,0,0.005680781433246508,0.009172225535585348,bunny,0,38.158595816930756,0.021551724523305893
3.509033203125,128,3.746305696559504,1,0.031901506356203084,96,96,1.0,1.0,2718452.0,0,41.76065616495907,4.695203471463174,0.0024759711102599544,6.978734732778042,30.465486745137305,0.03227916781502786,1.0,,0.03227916781502786,5.337260181972071,0.016086810773007443,0.0005277552598620581,0,362.0,2.0,p1,0.47473329840156603,0.02343750186264515,0.0,1,0.0,0.9855204572800307,0.014479542719969318,101,0.0,0.0,300.93359375,354.0,A,0.002330455797952341,0.005741835635754828,0.03227916781502786,0.0020210418107524425,0.0016425047965480345,0.004370303712826043,0.0015115893506482266,128,7.805829455623189,0.9776785969734192,0.0,0,0,0.005660637981586785,0.009144998476514543,bunny,0,56.19942242815159,0.0223214291036129
3.7110595703125,160,3.968019352391886,1,0.021461294494078527,128,128,0.0,1.0,2718051.0,0,55.19393399916589,6.238941395655274,0.002503591659287664,4.079979174057166,29.997553977003797,0.02164076755021094,1.0,,0.02164076755021094,2.0358153969177577,0.0135981992228551,0.0004531048705830918,0,351.0,2.0,p1,0.4750415010588158,0.0243055559694767,0.0,1,0.0,0.9854830953515816,0.014516904648418372,133,0.0,0.0,302.33740234375,354.0,A,0.0023188619075543517,0.005765170083759003,0.02164076755021094,0.0020519760154740353,0.0016261709753116887,0.004331664901132281,0.0015023084039626948,160,7.7456509057669,0.9768518805503845,0.0,0,0,0.005670487075331687,0.009140352174819495,bunny,0,74.3897432370577,0.023148149251937866
3.97412109375,192,4.327545075714915,1,0.014936971573673347,160,160,0.0,1.0,2717834.0,0,68.73755347146653,7.794102448038757,0.002486411607831315,8.390229377326254,29.67292516681756,0.015014871811132537,1.0,,0.015014871811132537,5.451019295048078,0.00885549403404795,0.000298347802487342,0,346.0,2.0,p1,0.4747000873507816,0.02524038590490818,0.0,1,0.0,0.9854992364549808,0.014500763545019169,165,0.0,0.0,305.00732421875,354.0,A,0.002289228197749558,0.005686267925111312,0.015014871811132537,0.0019637563793687713,0.0016348853141592058,0.004291548625687384,0.0014870421324819794,192,7.703625791381297,0.9759615659713745,0.0,0,0,0.005660073999374333,0.009124017226156071,bunny,0,92.7257569511421,0.024038461968302727
4.3109130859375,224,4.6646588388514685,1,0.011190834110483522,192,192,0.0,0.0,2718021.0,0,82.44011283759028,9.354356807889417,0.0025012147411666366,8.403791953729643,29.437289602447716,0.011261857668298191,1.0,,0.011261857668298191,3.748234798759704,0.0069918572596030515,0.00023746061757913412,0,336.0,1.0,p1,0.4763130058797312,0.026249999180436134,0.0,1,0.0,0.9854852845928487,0.014514715407151324,197,0.0,0.0,307.3544921875,354.0,A,0.002280799501720496,0.005713267408914305,0.011261857668298191,0.001929035943412624,0.0016494430211461953,0.004302155199784622,0.0014710244718824964,224,7.672977206071671,0.9749999642372131,0.0,0,0,0.00566478251286356,0.009121163812105218,bunny,0,111.23553737509064,0.02499999850988388
4.545166015625,256,4.896459816887081,1,0.008874187707364117,224,224,0.0,0.0,2717750.0,0,96.0887703425251,10.911617361940444,0.0025288821619452433,5.536083257803547,29.240220758930327,0.009012907879446407,1.0,,0.009012907879446407,2.5161997410113264,0.006808868896335696,0.00023280548428291004,0,331.0,1.0,p1,0.4766364042529212,0.02734375,0.0,1,0.0,0.9854857345221204,0.014514265477879595,229,0.0,0.0,309.99072265625,354.0,A,0.002279350600633705,0.005724288078109654,0.009012907879446407,0.0019195574856235456,0.0016187173946286065,0.004330315319519494,0.0014635302009458233,256,7.647250585528152,0.9739583730697632,0.0,0,0,0.005674058311404979,0.009121858246656386,bunny,0,129.70086297695525,0.0260416679084301
2.6119384765625,32,2.824718008771833,0,1.046849599209164,0,0,,,2726522.0,0,1.7303601750172675,0.04910166701301932,0.0028336085124495754,0.3252564837379824,36.57236256266613,,,,,,,3.5764159387597886e-08,0,388.0,2.0,p4,0.38623930760295944,0.021169353276491165,0.0,0,0.0,0.9850810164076027,0.014918983592397295,5,0.0,0.0,282.7607421875,354.0,A,0.002578329746078151,0.0067544522584080495,,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833,32,8.552468949100737,0.9808467626571655,0.0,0,0,0.0058290160577305255,0.009293792131943443,bunny,0,1.858910100068897,0.019153226166963577
2.94482421875,64,3.0627349843084857,4,0.09965864612028277,32,8,0.75,1.0,2721181.0,0,5.011223762994632,0.6644152889493853,0.002520953094768981,45.517454751927986,32.509900037739584,0.4306765162087117,1.0000000000000004,,0.43067651620871195,72.01753732112797,0.2529878036515285,0.007721779742868776,0,382.0,2.0,p4,0.46956953299138915,0.02187500149011612,0.0,4,0.0,0.9854478840620509,0.01455211593794914,13,0.0,0.0,363.703125,414.0,A,0.002427044937421321,0.00595733535159011,0.43067651620871195,0.0023764767347633133,0.0016707834027793482,0.004403353425308014,0.001578236915344817,64,8.06348560335288,0.9791667461395264,0.0,0,0,0.0056947826731187584,0.009194193493091096,bunny,0,6.629753828048706,0.02083333395421505
