active_bases_per_query,active_k,active_parameters_per_affected_pixel,actual_batch_size,best_remaining_candidate_score,birth_count,birth_round,birth_top10_fraction,birth_top25_fraction,candidate_jacobian_nnz,cg_failures,condition,cumulative_optimization_seconds,cumulative_scoring_seconds,geometry_rms_error,gradient_norm,image_loss,independent_sum_gain,joint_to_independent_ratio,last_new_only_gain,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_step_relative_improvement,line_search_failures,median_affected_pixels,median_affected_views,method,minimum_denominator_magnitude,near_null_candidate_fraction,no_birth_continuation_gain,nominal_batch_size,nonfinite_candidate_score_count,normal_consistency,normal_error,normalized_image_mse,normalized_residual_energy,optimizer_steps,pairwise_correlation_max,pairwise_correlation_mean,peak_allocated_mib,peak_reserved_mib,photons,point_to_surface_mean,point_to_surface_p95,predicted_batch_gain,raw_image_loss,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean,requested_k,residual_energy,residual_norm,resolution,responsive_candidate_fraction,rho_off,role,root_failures,selected_score_min_to_max,selection_seed,surface_rms,symmetric_chamfer,target_regime,target_seed,total_runtime_seconds,zero_jacobian_candidate_fraction
2.6710205078125,32,3.3463213428532614,0,13.404310441901158,0,0,,,9024594.0,0,B,2.477472789818421,0.12972076307050884,0.008628047353067665,27.148376335976067,1269.422892171937,,,,,,,8.823294436449351e-06,0,1315.0,2.0,dynamic,0.1273778954818475,0.026209676638245583,0.0,0,0.0,0.9675576130837433,0.03244238691625667,0.001614154678563356,0.052994957982049146,6,0.0,0.0,611.21044921875,832.0,262144,0.0056063036071117645,0.017409091424995034,,1269.422892171937,0.009663295998343771,0.004297264360407492,0.008029887647130161,0.0033698897393242525,32,2538.845784343874,50.386960459466835,256,0.9768145084381104,0.0,dynamic,0,,0,0.0087934889527861,0.01168314137897007,bunny,0,2.6848319079726934,0.02318548411130905
3.2158203125,64,4.039372692502038,32,2.374364763254471,32,1,0.46875,0.75,8989596.0,0,B,2.96823845570907,0.3171695612836629,0.007930870026702353,2501.6725348729506,1210.5522690250727,127.67244530445097,0.9567811394199672,,122.15458769092605,11251.360369394106,58.87062314686432,0.04637589530636128,0,1238.0,2.0,dynamic,0.12249502817271157,0.02708333544433117,0.0,32,0.0,0.9682721968570561,0.03172780314294388,0.0015392968101820281,0.050537269358908614,7,0.09175520420462395,0.0017120606612812614,767.96484375,874.0,262144,0.005083125529659149,0.015245886953216953,122.15458769092605,1210.5522690250727,0.00810401296704894,0.0037006105511872603,0.007391454586643454,0.0032492508266383125,64,2421.1045380501455,49.20472068867118,256,0.9760417342185974,0.05138373059848489,dynamic,0,0.12880485598322003,0,0.008239769567958872,0.011276872708074134,bunny,0,3.8435186678543687,0.02395833469927311
3.6239013671875,96,4.534093437355247,32,0.9536373418432182,64,2,0.4375,0.75,8980910.0,0,B,3.4728711827192456,0.5083614164032042,0.0075402892684889086,1227.314998613213,1191.028066071924,39.38444684848731,0.9923800169670062,,39.084338031737985,5163.022699348909,19.524202953148688,0.01612834361036975,0,1203.0,2.0,dynamic,0.12079497812678373,0.02801724150776863,0.0,32,0.0,0.9685138346009274,0.03148616539907256,0.001514470502309067,0.04972218691355834,8,0.048286305141081357,0.00045163076873636386,776.48779296875,874.0,262144,0.004811102706729924,0.014380314004358376,39.084338031737985,1191.028066071924,0.007523129408985655,0.003744435992460267,0.00695053014798279,0.003086441698485994,96,2382.056132143848,48.80631242107775,256,0.975215494632721,0.011172423901876458,dynamic,0,0.34097478671095266,0,0.007962971814919246,0.011065644810649408,bunny,0,4.968942887848243,0.024784483015537262
3.8128662109375,128,4.782513230697407,32,0.7281706923884741,96,3,0.25,0.6875,8974850.0,0,B,3.9844204038381577,0.6967511104885489,0.007413490146980687,538.5437441021292,1181.3921430438297,20.64187064539795,1.007238429283964,,20.791285366353396,1883.9592684838844,9.63592302809434,0.008090424820864523,0,1197.0,2.0,dynamic,0.12125346366953783,0.0290178582072258,0.0,32,0.0,0.9686544293357584,0.031345570664241595,0.0015022177925667188,0.04931991329840523,9,0.08897588080922854,0.0007607562615366261,784.30126953125,874.0,262144,0.004689798954355612,0.014303555250599832,20.791285366353396,1181.3921430438297,0.007271194620140046,0.0035505578419814305,0.0067924424072345994,0.003043177980613736,128,2362.7842860876594,48.608479569799954,256,0.9743304252624512,0.01922178515517688,dynamic,0,0.5432932681558347,0,0.00785231786023024,0.010977767930715813,bunny,0,6.09051292296499,0.02566964365541935
4.0899658203125,160,5.163907520269605,32,0.479596740998617,128,4,0.15625,0.40625,8973626.0,0,B,4.503812657669187,0.8860136063303798,0.007317018153376781,531.0234517183108,1174.0482305375092,15.469838570446337,0.9895834319763142,,15.308695944661844,1987.0485526459179,7.343912506320521,0.006216320761537784,0,1173.0,2.0,dynamic,0.11879171005334933,0.030092593282461166,0.0,32,0.0,0.9687532636744698,0.03124673632553021,0.0014928795249144354,0.04901332489741113,10,0.09037465929577165,0.0005864078970135927,795.8359375,874.0,262144,0.004568653302177195,0.013962810996265907,15.308695944661844,1174.0482305375092,0.007047368366199901,0.003380360867476775,0.006747825152279499,0.002925303263592159,160,2348.0964610750184,48.45716109178311,256,0.9733796119689941,0.029718595185849406,dynamic,0,0.53131416611301,0,0.007768240786737178,0.01089627204671603,bunny,0,7.229263346875086,0.026620371267199516
4.3048095703125,192,5.448097775540797,32,0.34988494796032177,160,5,0.125,0.3125,8969696.0,0,B,5.03109268960543,1.0773473831359297,0.007248077457907551,392.7357070269276,1168.1693757518874,10.570921198858208,0.9962989919301289,,10.531798134195263,1561.024193623713,5.878854785621797,0.005007336694277101,0,1140.0,2.0,dynamic,0.11849370061787169,0.03125,0.0,32,0.0,0.9687850067254312,0.03121499327456878,0.001485404174489196,0.04876789867714379,11,0.0731025031609601,0.00037448538184898513,803.0146484375,888.0,262144,0.004485595190143864,0.013771450715262758,10.531798134195263,1168.1693757518874,0.006930120539355109,0.003278668393481018,0.006632399587026851,0.002874685767834433,192,2336.338751503775,48.33568817658206,256,0.9723557829856873,0.005809450362641272,dynamic,0,0.5788388960669765,0,0.007697785449476664,0.010839586192927372,bunny,0,8.369560624938458,0.027644231915473938
4.553466796875,224,5.773082548262266,32,0.2693047339387654,192,6,0.15625,0.34375,8968559.0,0,B,5.566099831601605,1.2689212271943688,0.00718584467174475,332.0581047383144,1164.1923432059493,7.563845033327229,1.0104886524043766,,7.643179574722368,1097.99105108971,3.977032545938073,0.0034044999196959137,0,1123.0,2.0,dynamic,0.11863932741667708,0.032499998807907104,0.0,32,0.0,0.9688019406287965,0.031198059371203457,0.001480347116096432,0.048601868370013734,12,0.08303767534926229,0.00048452774624054245,812.328125,888.0,262144,0.004420264110103843,0.013673159789016193,7.643179574722368,1164.1923432059493,0.006814481866745997,0.003212794293072704,0.006582474745011404,0.002816983527662297,224,2328.3846864118987,48.25333860378884,256,0.9712499976158142,0.004512075861189068,dynamic,0,0.5759980376483615,0,0.0076608748688556565,0.010794771623871664,bunny,0,9.523326655849814,0.028749998658895493
4.8062744140625,256,6.061485379988985,32,0.3753099394945889,224,7,0.09375,0.1875,8966069.0,0,B,6.106305257650092,1.4582471172325313,0.007149616682319371,334.1094629631304,1161.24024620106,5.923573405661771,0.9996755185827396,,5.921651316167856,972.0631099127828,2.9520970048893105,0.002535746796581598,0,1087.0,2.0,dynamic,0.11865758753521372,0.0338541679084301,0.0,32,0.0,0.9687664069070367,0.031233593092963252,0.0014765933306389617,0.048478626337986594,13,0.023049910298463705,0.00022717831634543588,819.6806640625,888.0,262144,0.00434672267129829,0.013730791328582901,5.921651316167856,1161.24024620106,0.006738074367990315,0.003150444236079514,0.006515437063627827,0.0027381446275994,256,2322.48049240212,48.19212064645132,256,0.9700521230697632,0.005668927252325386,dynamic,0,0.5633930991270351,0,0.007623299142583609,0.010747493031534196,bunny,0,10.676095625851303,0.0299479179084301
2.6710205078125,32,3.3463213428532614,0,13.404310441901139,0,0,,,9024594.0,0,B,2.44144624308683,0.12236273312009871,0.0086280473530676,27.14837633663339,1269.4228921719377,,,,,,,8.823294434837333e-06,0,1315.0,2.0,uniform_matched,0.12737789548185383,0.026209676638245583,0.0,0,0.0,0.9675576130837433,0.03244238691625667,0.0016141546785633568,0.05299495798204917,6,0.0,0.0,611.21044921875,832.0,262144,0.0056063036071117645,0.017409091424995034,,1269.4228921719377,0.009663295998343771,0.004297264360407492,0.008029887647130161,0.0033698897393242525,32,2538.8457843438755,50.38696045946685,256,0.9768145084381104,0.0,uniform_matched,0,,0,0.0087934889527861,0.01168314137897007,bunny,0,2.639068600954488,0.02318548411130905
4.010986328125,64,4.741841293537799,32,10.692723943216487,32,1,0.125,0.34375,8999191.0,0,B,2.951242852024734,0.31328004598617554,0.008088201540287455,2422.2064446420377,1243.536232937342,53.71021073685344,0.9363623800080852,,50.292220756295904,8281.865905793953,25.886659234595754,0.020392462901235846,0,1224.0,2.0,uniform_matched,0.1224254032156871,0.02708333544433117,0.0,32,0.0,0.9679215895146043,0.032078410485395725,0.0015812380891638972,0.051914260267447686,7,0.7305647590654688,0.008249740402341442,792.35595703125,874.0,262144,0.005225322924914017,0.01606756982555669,50.292220756295904,1243.536232937342,0.008715341210456104,0.003893049266735664,0.007508670239406819,0.0032461167859163635,64,2487.072465874684,49.870557104113885,256,0.9760417342185974,0.17332509354435238,uniform_matched,0,0.0009011419693945547,0,0.008407614462128059,0.011380496651993522,bunny,0,3.604352356866002,0.02395833469927311
