metric,value
center_bank.reference_pool_ids[60],-1
center_bank.reference_pool_ids[61],-1
center_bank.reference_pool_ids[62],-1
center_bank.reference_pool_ids[63],-1
center_bank.reference_pool_ids[64],1658
center_bank.reference_pool_ids[65],957
center_bank.reference_pool_ids[66],4087
center_bank.reference_pool_ids[67],2208
center_bank.reference_pool_ids[68],1362
center_bank.reference_pool_ids[69],3420
center_bank.reference_pool_ids[70],3163
center_bank.reference_pool_ids[71],426
center_bank.reference_pool_ids[72],1591
center_bank.reference_pool_ids[73],2845
center_bank.reference_pool_ids[74],1516
center_bank.reference_pool_ids[75],1742
center_bank.reference_pool_ids[76],1951
center_bank.reference_pool_ids[77],674
center_bank.reference_pool_ids[78],1392
center_bank.reference_pool_ids[79],3078
center_bank.reference_pool_ids[80],1305
center_bank.reference_pool_ids[81],1142
center_bank.reference_pool_ids[82],2943
center_bank.reference_pool_ids[83],2863
center_bank.reference_pool_ids[84],1976
center_bank.reference_pool_ids[85],2398
center_bank.reference_pool_ids[86],692
center_bank.reference_pool_ids[87],222
center_bank.reference_pool_ids[88],2273
center_bank.reference_pool_ids[89],1000
center_bank.reference_pool_ids[90],945
center_bank.reference_pool_ids[91],2748
center_bank.reference_pool_ids[92],3416
center_bank.reference_pool_ids[93],883
center_bank.reference_pool_ids[94],1306
center_bank.reference_pool_ids[95],1757
center_bank.reference_pool_ids[96],3530
center_bank.reference_pool_ids[97],452
center_bank.reference_pool_ids[98],1945
center_bank.reference_pool_ids[99],3863
center_bank.reference_pool_ids[100],4015
center_bank.reference_pool_ids[101],3725
center_bank.reference_pool_ids[102],3386
center_bank.reference_pool_ids[103],3666
center_bank.reference_pool_ids[104],514
center_bank.reference_pool_ids[105],1646
center_bank.reference_pool_ids[106],3365
center_bank.reference_pool_ids[107],3433
center_bank.reference_pool_ids[108],3690
center_bank.reference_pool_ids[109],3545
center_bank.reference_pool_ids[110],2553
center_bank.reference_pool_ids[111],3580
center_bank.reference_pool_ids[112],2518
center_bank.reference_pool_ids[113],3248
center_bank.reference_pool_ids[114],1066
center_bank.reference_pool_ids[115],2427
center_bank.reference_pool_ids[116],2695
center_bank.reference_pool_ids[117],3024
center_bank.reference_pool_ids[118],276
center_bank.reference_pool_ids[119],3608
center_bank.reference_pool_ids[120],3037
center_bank.reference_pool_ids[121],4069
center_bank.reference_pool_ids[122],2407
center_bank.reference_pool_ids[123],1487
center_bank.reference_pool_ids[124],1470
center_bank.reference_pool_ids[125],849
center_bank.reference_pool_ids[126],99
center_bank.reference_pool_ids[127],2520
center_bank.reference_pool_ids[128],2442
center_bank.reference_pool_ids[129],3718
center_bank.reference_pool_ids[130],3053
center_bank.reference_pool_ids[131],1422
center_bank.reference_pool_ids[132],228
center_bank.reference_pool_ids[133],1314
center_bank.reference_pool_ids[134],3944
center_bank.reference_pool_ids[135],3546
center_bank.reference_pool_ids[136],2564
center_bank.reference_pool_ids[137],1714
center_bank.reference_pool_ids[138],2647
center_bank.reference_pool_ids[139],918
center_bank.reference_pool_ids[140],1279
center_bank.reference_pool_ids[141],2291
center_bank.reference_pool_ids[142],4050
center_bank.reference_pool_ids[143],3911
center_bank.reference_pool_ids[144],2152
center_bank.reference_pool_ids[145],859
center_bank.reference_pool_ids[146],92
