metric,value
cells[0].energy_accounting[1].view,1
cells[0].energy_accounting[1].input_energy,0.38898949675572836
cells[0].energy_accounting[1].detected_energy,0.3889895318941962
cells[0].energy_accounting[1].relative_energy_difference,9.03326906014055e-08
cells[0].energy_accounting[1].projected_count_sum,1048576.0923586723
cells[0].energy_accounting[2].view,2
cells[0].energy_accounting[2].input_energy,0.5155399893884589
cells[0].energy_accounting[2].detected_energy,0.5155400366702821
cells[0].energy_accounting[2].relative_energy_difference,9.171320209421889e-08
cells[0].energy_accounting[2].projected_count_sum,1048576.0952140384
cells[0].energy_accounting[3].view,3
cells[0].energy_accounting[3].input_energy,0.34366494077985876
cells[0].energy_accounting[3].detected_energy,0.343664971084433
cells[0].energy_accounting[3].relative_energy_difference,8.818058126658715e-08
cells[0].energy_accounting[3].projected_count_sum,1048576.0909956272
cells[0].readout_seconds,1.070474050939083
cells[0].cuda_allocated_peak_mib,457.75537109375
cells[0].cuda_reserved_peak_mib,548.0
cells[0].cpu_rss_peak_mib,2027.65234375
cells[0].cell_analysis_seconds,10.497336397180334
cells[1].E,1
cells[1].K_chart,1024
cells[1].N_theta,32
cells[1].N_r,32
cells[1].emitters_per_chart,1024
cells[1].total_emitters,1048576
cells[1].state_digest,b3109c226af37956bf233f54735631cbd5b02439ce35c22cd0e4786c44d0a370
cells[1].source_mass,9.088634202953163
cells[1].weight_sum,1.0
cells[1].maximum_chart_mass_difference,0.0
cells[1].runtime.mapping_seconds,0
cells[1].runtime.transport_seconds,0
cells[1].runtime.cache_reused,True
cells[1].C,2
cells[1].capture_grid,2
cells[1].capture_samples_per_pixel,4
cells[1].whole_image_mse,17.355012538580247
cells[1].foreground_mse,1244.1127747132475
cells[1].interior_gt8px_mse,
cells[1].silhouette_0_8px_mse,99.3834064111982
cells[1].total_image_energy,5448943.163635143
cells[1].foreground_mean_brightness,0.8384744476549048
cells[1].edge_sharpness,0.28887007597708364
cells[1].reference_edge_sharpness,2.19512979735671
cells[1].edge_sharpness_ratio,0.13159589757513646
cells[1].thin_feature_response_ratio,0.004843640393539511
cells[1].historical_squared_image_energy,5909500.375
cells[1].gradient_magnitude_ratio,0.048265957999174935
cells[1].gradient_cosine,0.0041816799820996765
cells[1].reference_aligned_gradient_energy,3416.5917311211315
cells[1].unmatched_gradient_energy,71955.29645380347
cells[1].excess_hf_weak_reference,0.03451550398700504
cells[1].gradient_squared_error,7.838298277354377
cells[1].weak_reference_pixels,2031747.0
cells[1].gradient_per_view[0].gradient_magnitude_ratio,0.04724285531935331
cells[1].gradient_per_view[0].gradient_cosine,0.0016141937343482108
cells[1].gradient_per_view[0].reference_aligned_gradient_energy,4097.482732235845
cells[1].gradient_per_view[0].unmatched_gradient_energy,85466.93461999213
cells[1].gradient_per_view[0].excess_hf_weak_reference,0.041036388201774715
cells[1].gradient_per_view[0].gradient_squared_error,9.696396582576236
cells[1].gradient_per_view[0].weak_reference_pixels,2028939
cells[1].gradient_per_view[1].gradient_magnitude_ratio,0.04757130140874123
cells[1].gradient_per_view[1].gradient_cosine,0.005327661267343449
cells[1].gradient_per_view[1].reference_aligned_gradient_energy,2931.0074980178597
cells[1].gradient_per_view[1].unmatched_gradient_energy,56254.832795775095
cells[1].gradient_per_view[1].excess_hf_weak_reference,0.026885509384192773
cells[1].gradient_per_view[1].gradient_squared_error,6.317347783575185
cells[1].gradient_per_view[1].weak_reference_pixels,2032827
cells[1].gradient_per_view[2].gradient_magnitude_ratio,0.04882705032293331
cells[1].gradient_per_view[2].gradient_cosine,0.002731038125905826
cells[1].gradient_per_view[2].reference_aligned_gradient_energy,4070.3969375236397
cells[1].gradient_per_view[2].unmatched_gradient_energy,91400.40635095509
cells[1].gradient_per_view[2].excess_hf_weak_reference,0.044004384873888636
cells[1].gradient_per_view[2].gradient_squared_error,9.676386674453706
cells[1].gradient_per_view[2].weak_reference_pixels,2026421
cells[1].gradient_per_view[3].gradient_magnitude_ratio,0.04942262494567189
cells[1].gradient_per_view[3].gradient_cosine,0.0070538268008012205
cells[1].gradient_per_view[3].reference_aligned_gradient_energy,2567.479756707181
cells[1].gradient_per_view[3].unmatched_gradient_energy,54699.01204849155
cells[1].gradient_per_view[3].excess_hf_weak_reference,0.02613573348816405
cells[1].gradient_per_view[3].gradient_squared_error,5.663062068812379
cells[1].gradient_per_view[3].weak_reference_pixels,2038801
cells[1].high_frequency_response,0.048265957999174935
cells[1].artifact_scores.spoke_anisotropy,0.5651596771226601
cells[1].artifact_scores.angular_lattice_fraction,0.03270470486389017
cells[1].artifact_scores.radial_banding_score,0.0011195142346607585
cells[1].artifact_scores.radial_banding_per_view[0],0.0010014445208622498
cells[1].artifact_scores.radial_banding_per_view[1],0.0011321755916972383
cells[1].artifact_scores.radial_banding_per_view[2],0.0011392364286658663
cells[1].artifact_scores.radial_banding_per_view[3],0.00120520039741768
cells[1].artifact_scores.scope,Fixed image-plane circles r=4..64px around all chart centers; geometry/overlap can also cause anisotropy or radial variation.
cells[1].foreground_pixel_center_density[0].view,0
cells[1].foreground_pixel_center_density[0].foreground_pixels,30547
cells[1].foreground_pixel_center_density[0].capture_locations,30547
cells[1].foreground_pixel_center_density[0].nearest_projected_distance_px.p50,0.3378114791351228
cells[1].foreground_pixel_center_density[0].nearest_projected_distance_px.p90,0.6882284212248284
cells[1].foreground_pixel_center_density[0].nearest_projected_distance_px.p95,0.8072271741465268
cells[1].foreground_pixel_center_density[0].nearest_projected_distance_px.p99,1.1180463675030563
cells[1].foreground_pixel_center_density[0].neighbors.0.5.mean,1.978852260451108
cells[1].foreground_pixel_center_density[0].neighbors.0.5.p50,1.0
cells[1].foreground_pixel_center_density[0].neighbors.0.5.p95,6.0
cells[1].foreground_pixel_center_density[0].neighbors.0.5.zero_fraction,0.258781549743019
cells[1].foreground_pixel_center_density[0].neighbors.0.5.weak_lt2_fraction,0.5543915932824828
cells[1].foreground_pixel_center_density[0].neighbors.1.0.mean,7.918813631453171
cells[1].foreground_pixel_center_density[0].neighbors.1.0.p50,5.0
cells[1].foreground_pixel_center_density[0].neighbors.1.0.p95,24.0
cells[1].foreground_pixel_center_density[0].neighbors.1.0.zero_fraction,0.017284839755131436
cells[1].foreground_pixel_center_density[0].neighbors.1.0.weak_lt2_fraction,0.055848364814875436
cells[1].foreground_pixel_center_density[0].neighbors.2.0.mean,31.27586997086457
cells[1].foreground_pixel_center_density[0].neighbors.2.0.p50,20.0
