above_one_rgb_scalars,affected_pixel_fraction,affected_rgb_scalar_fraction,attempted_packets,below_zero_rgb_scalars,category,chunk_size,clamp_affected_frozen_fd_change_fraction,clamp_affected_full_fd_change_fraction,clamp_affected_jacobian_entry_fraction,common_support_mse,comparison,continuous_detector_writes,cpu_peak_rss_mib,current_image_energy,emitters,epsilon,estimator,events_per_second,foreground_self_mse,fraction_self_sse_from_support_xor,hard_bin_writes,independent_self_mse,interior_mse,interior_self_mse,mae,mean_contribution_count,mean_detector_weight,mean_foreground_brightness,mse,mse_vs_8N,packets_per_second,parameter,peak_allocated_mib,peak_reserved_mib,regions,resolution,retained_events,rmse,rmse_vs_8N,runtime_seconds,sample_realization_gradient,sample_set,scale_normalized_self_rmse,scale_normalized_whole_image_self_mse,scientific_mc_measurement_clamped,section,seed,self_mse,silhouette_0_8px_self_mse,silhouette_mse,silhouette_regions,support_switch_scalar_fraction,support_xor_fraction,support_xor_pixel_fraction,support_xor_sse_fraction,switch_pixel_mse,target_image_energy,target_mean_square,threshold,topology_component_fraction_of_full_norm,total_image_energy,visibility_switch_fraction,whole_image_self_mse,whole_image_self_sse
,,,,,,,,,,,,,,,65536,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.0001388441087328829,,,,,,0.5876014893820505,,0.00030384361161850393,,,,,,,,,0.017431110452822675,,,,,,,convergence,211,,,,,,,,,,,,,,439383.7822265625,,,
,,,,,,,,,,,,,,,65536,,UNGATED_NORMALIZED_SPLAT,,,,,0.0001696312899487869,,,,,,0.581988678471584,,0.00012961920583620667,,,,,,,,,0.01138504307572908,,,,,,,convergence,211,,,,,,,,,,,,,,443800.6181640625,,,
,,,,,,,,,,,,,,,65536,,HARD_BIN_MONTE_CARLO,,,,,0.17010897745688755,,,,,,0.8527458407327433,,0.07196571653087934,,,,,,,,,0.26826426622060445,,,,,,,convergence,211,,,,,,,,,,,,,,1401857.92578125,,,
,,,,,,,,,,,,,,,65536,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.02089373003691435,,,,,,0.7910007815028567,,0.009414490312337875,,,,,,,,,0.09702829645179738,,,,,,,convergence,211,,,,,,,,,,,,,,979426.84765625,,,
,,,,,,,,,,,,,,,131072,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,5.9007358989523105e-05,,,,,,0.5891737685602826,,0.0001221447314795417,,,,,,,,,0.01105191076147205,,,,,,,convergence,211,,,,,,,,,,,,,,440056.4599609375,,,
,,,,,,,,,,,,,,,131072,,UNGATED_NORMALIZED_SPLAT,,,,,9.846805611838742e-05,,,,,,0.5824904975250877,,4.6966034824436063e-05,,,,,,,,,0.006853176987677763,,,,,,,convergence,211,,,,,,,,,,,,,,443899.763671875,,,
,,,,,,,,,,,,,,,131072,,HARD_BIN_MONTE_CARLO,,,,,0.07145924965540568,,,,,,0.8527343356414361,,0.01907306325932344,,,,,,,,,0.13810526151933328,,,,,,,convergence,211,,,,,,,,,,,,,,1192986.98828125,,,
,,,,,,,,,,,,,,,131072,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.007575629154841105,,,,,,0.7909901297471066,,0.0021608347228417794,,,,,,,,,0.04648477947502579,,,,,,,convergence,211,,,,,,,,,,,,,,950115.009765625,,,
,,,,,,,,,,,,,,,262144,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,3.34962459722495e-05,,,,,,0.590316297337617,,0.0,,,,,,,,,0.0,,,,,,,convergence,211,,,,,,,,,,,,,,440511.970703125,,,
,,,,,,,,,,,,,,,262144,,UNGATED_NORMALIZED_SPLAT,,,,,6.492031437422459e-05,,,,,,0.5828043457108155,,0.0,,,,,,,,,0.0,,,,,,,convergence,211,,,,,,,,,,,,,,443974.611328125,,,
