metric,value
derivative_validation.rows[1].epsilons[2].cosine,0.9999999999999947
derivative_validation.rows[1].epsilons[2].norm_ratio,0.9999999245176836
derivative_validation.rows[1].epsilons[2].sign_agreement,1.0
derivative_validation.rows[1].epsilons[3].epsilon,1e-06
derivative_validation.rows[1].epsilons[3].relative_l2,1.3327105010106482e-09
derivative_validation.rows[1].epsilons[3].cosine,0.9999999999999994
derivative_validation.rows[1].epsilons[3].norm_ratio,0.9999999991631581
derivative_validation.rows[1].epsilons[3].sign_agreement,1.0
derivative_validation.rows[2].candidate,9
derivative_validation.rows[2].rank,weak
derivative_validation.rows[2].center[0],-0.5642858638818717
derivative_validation.rows[2].center[1],0.2950820402168888
derivative_validation.rows[2].center[2],-0.07241847329651731
derivative_validation.rows[2].radius,0.31819805153394637
derivative_validation.rows[2].analytic_norm,423.8886127022549
derivative_validation.rows[2].passed,True
derivative_validation.rows[2].epsilons[0].epsilon,0.001
derivative_validation.rows[2].epsilons[0].relative_l2,0.00028477024632272914
derivative_validation.rows[2].epsilons[0].cosine,0.9999999824159059
derivative_validation.rows[2].epsilons[0].norm_ratio,0.9997856791091077
derivative_validation.rows[2].epsilons[0].sign_agreement,1.0
derivative_validation.rows[2].epsilons[1].epsilon,0.0001
derivative_validation.rows[2].epsilons[1].relative_l2,2.7836120776354987e-06
derivative_validation.rows[2].epsilons[1].cosine,0.999999999998411
derivative_validation.rows[2].epsilons[1].norm_ratio,0.9999978622855117
derivative_validation.rows[2].epsilons[1].sign_agreement,1.0
derivative_validation.rows[2].epsilons[2].epsilon,1e-05
derivative_validation.rows[2].epsilons[2].relative_l2,2.7839014272024088e-08
derivative_validation.rows[2].epsilons[2].cosine,0.9999999999999992
derivative_validation.rows[2].epsilons[2].norm_ratio,0.9999999786076357
derivative_validation.rows[2].epsilons[2].sign_agreement,1.0
derivative_validation.rows[2].epsilons[3].epsilon,1e-06
derivative_validation.rows[2].epsilons[3].relative_l2,7.763422611613812e-10
derivative_validation.rows[2].epsilons[3].cosine,1.0
derivative_validation.rows[2].epsilons[3].norm_ratio,0.9999999997905954
derivative_validation.rows[2].epsilons[3].sign_agreement,1.0
derivative_validation.passed,True
derivative_validation.analytic_method,Compact-support implicit attachment tangent + exact CURRENT barrier chain rule + algebraically identical C3 detector tangent
derivative_validation.precision,"float64 FD diagnostic, matching v0817 validation policy; primary renders remain float32 detector accumulation"
derivative_validation.performance.alignment[0],0.0
derivative_validation.performance.alignment[1],0.0
derivative_validation.performance.alignment[2],0.0
derivative_validation.performance.alignment[3],0.0
derivative_validation.performance.alignment[4],0.0
derivative_validation.performance.alignment[5],0.0
derivative_validation.performance.alignment[6],0.0
derivative_validation.performance.alignment[7],0.0
derivative_validation.performance.alignment[8],0.0
derivative_validation.performance.alignment[9],0.0
derivative_validation.performance.alignment[10],0.0
derivative_validation.performance.alignment[11],0.0
derivative_validation.performance.alignment[12],0.0
derivative_validation.performance.alignment[13],0.0
derivative_validation.performance.alignment[14],0.0
derivative_validation.performance.alignment[15],0.0
derivative_validation.performance.raw[0],0.0
derivative_validation.performance.raw[1],0.0
derivative_validation.performance.raw[2],0.0
derivative_validation.performance.raw[3],0.0
derivative_validation.performance.raw[4],0.0
derivative_validation.performance.raw[5],0.0
derivative_validation.performance.raw[6],0.0
derivative_validation.performance.raw[7],0.0
derivative_validation.performance.raw[8],0.0
derivative_validation.performance.raw[9],0.0
derivative_validation.performance.raw[10],0.0
derivative_validation.performance.raw[11],0.0
derivative_validation.performance.raw[12],0.0
derivative_validation.performance.raw[13],0.0
derivative_validation.performance.raw[14],0.0
derivative_validation.performance.raw[15],0.0
derivative_validation.performance.norm2[0],2.5190019245614867
derivative_validation.performance.norm2[1],1.5380408955250382
derivative_validation.performance.norm2[2],6.759748670762089
derivative_validation.performance.norm2[3],2.726822149260526
derivative_validation.performance.norm2[4],5.7639300501833395
derivative_validation.performance.norm2[5],1.8188914010896768
derivative_validation.performance.norm2[6],3.6130939608615025
derivative_validation.performance.norm2[7],13.387749029797755
derivative_validation.performance.norm2[8],1.710020881004634
derivative_validation.performance.norm2[9],0.9139076536999652
derivative_validation.performance.norm2[10],2.587434669905422
derivative_validation.performance.norm2[11],1.663829346602919
derivative_validation.performance.norm2[12],2.5207855543433757
derivative_validation.performance.norm2[13],0.9806870070710039
derivative_validation.performance.norm2[14],2.228775217783258
derivative_validation.performance.norm2[15],1.2817130904203373
derivative_validation.performance.quadratic[0],0.0
derivative_validation.performance.quadratic[1],0.0
derivative_validation.performance.quadratic[2],0.0
derivative_validation.performance.quadratic[3],0.0
derivative_validation.performance.quadratic[4],0.0
derivative_validation.performance.quadratic[5],0.0
derivative_validation.performance.quadratic[6],0.0
derivative_validation.performance.quadratic[7],0.0
derivative_validation.performance.quadratic[8],0.0
derivative_validation.performance.quadratic[9],0.0
derivative_validation.performance.quadratic[10],0.0
derivative_validation.performance.quadratic[11],0.0
derivative_validation.performance.quadratic[12],0.0
derivative_validation.performance.quadratic[13],0.0
derivative_validation.performance.quadratic[14],0.0
derivative_validation.performance.quadratic[15],0.0
derivative_validation.performance.jacobian_norm[0],1.5871363912913996
derivative_validation.performance.jacobian_norm[1],1.240177767711161
derivative_validation.performance.jacobian_norm[2],2.599951667005002
derivative_validation.performance.jacobian_norm[3],1.6513092227867336
derivative_validation.performance.jacobian_norm[4],2.400818620842345
derivative_validation.performance.jacobian_norm[5],1.3486628196438415
derivative_validation.performance.jacobian_norm[6],1.9008140258482686
derivative_validation.performance.jacobian_norm[7],3.6589273058914076
derivative_validation.performance.jacobian_norm[8],1.3076776670894987
derivative_validation.performance.jacobian_norm[9],0.9559851744143134
derivative_validation.performance.jacobian_norm[10],1.6085504872105885
derivative_validation.performance.jacobian_norm[11],1.2898950913167004
derivative_validation.performance.jacobian_norm[12],1.5876981937205117
derivative_validation.performance.jacobian_norm[13],0.990296423840359
derivative_validation.performance.jacobian_norm[14],1.4929083085652841
derivative_validation.performance.jacobian_norm[15],1.1321276829140507
derivative_validation.performance.gram[0][0],2.5190019245614867
derivative_validation.performance.gram[0][1],1.738079960560909e-05
derivative_validation.performance.gram[0][2],-1.863744309685054e-11
derivative_validation.performance.gram[0][3],2.45431515802971e-14
derivative_validation.performance.gram[0][4],0.0
derivative_validation.performance.gram[0][5],-9.128962658682862e-11
derivative_validation.performance.gram[0][6],0.0
derivative_validation.performance.gram[0][7],0.0
derivative_validation.performance.gram[0][8],0.0
derivative_validation.performance.gram[0][9],7.932023448627771e-15
derivative_validation.performance.gram[0][10],-8.858313869277494e-08
derivative_validation.performance.gram[0][11],0.0
derivative_validation.performance.gram[0][12],-2.0659701019586572e-11
derivative_validation.performance.gram[0][13],1.2116070035521576e-08
derivative_validation.performance.gram[0][14],-0.0002787367808874885
derivative_validation.performance.gram[0][15],0.0
derivative_validation.performance.gram[1][0],1.738079960560909e-05
derivative_validation.performance.gram[1][1],1.5380408955250382
