metric,value
measurements[1].foreground_mse,1244.6967515979336
measurements[1].interior_gt8px_mse,
measurements[1].silhouette_0_8px_mse,99.61159155288786
measurements[1].total_image_energy,5403941.737860136
measurements[1].foreground_mean_brightness,0.8168015949238245
measurements[1].edge_sharpness,0.42204522064697947
measurements[1].reference_edge_sharpness,2.19512979735671
measurements[1].edge_sharpness_ratio,0.19226435774102738
measurements[1].thin_feature_response_ratio,0.006708409945406213
measurements[1].replay_seconds,0.506033806828782
measurements[1].artifact_aware.per_view[0].gradient_magnitude_ratio,0.07271524710350812
measurements[1].artifact_aware.per_view[0].gradient_cosine,0.003516594813385579
measurements[1].artifact_aware.per_view[0].reference_aligned_gradient_energy,10621.157671457308
measurements[1].artifact_aware.per_view[0].unmatched_gradient_energy,201563.60696491986
measurements[1].artifact_aware.per_view[0].excess_hf_weak_reference,0.0965343700841259
measurements[1].artifact_aware.per_view[0].gradient_squared_error,9.722490769388946
measurements[1].artifact_aware.per_view[0].weak_reference_pixels,2028939
measurements[1].artifact_aware.per_view[1].gradient_magnitude_ratio,0.0712910373705144
measurements[1].artifact_aware.per_view[1].gradient_cosine,0.004572558629851428
measurements[1].artifact_aware.per_view[1].reference_aligned_gradient_energy,6705.141398316519
measurements[1].artifact_aware.per_view[1].unmatched_gradient_energy,126217.08938820523
measurements[1].artifact_aware.per_view[1].excess_hf_weak_reference,0.06027980900261245
measurements[1].artifact_aware.per_view[1].gradient_squared_error,6.334212687222625
measurements[1].artifact_aware.per_view[1].weak_reference_pixels,2032827
measurements[1].artifact_aware.per_view[2].gradient_magnitude_ratio,0.07186308654367478
measurements[1].artifact_aware.per_view[2].gradient_cosine,0.0005241651649110222
measurements[1].artifact_aware.per_view[2].reference_aligned_gradient_energy,9214.413074048769
measurements[1].artifact_aware.per_view[2].unmatched_gradient_energy,197590.72822459668
measurements[1].artifact_aware.per_view[2].excess_hf_weak_reference,0.0950029079469821
measurements[1].artifact_aware.per_view[2].gradient_squared_error,9.70508010735991
measurements[1].artifact_aware.per_view[2].weak_reference_pixels,2026421
measurements[1].artifact_aware.per_view[3].gradient_magnitude_ratio,0.07000099755223081
measurements[1].artifact_aware.per_view[3].gradient_cosine,-0.0007859636179145638
measurements[1].artifact_aware.per_view[3].reference_aligned_gradient_energy,5352.569594958042
measurements[1].artifact_aware.per_view[3].unmatched_gradient_energy,109530.86756378788
measurements[1].artifact_aware.per_view[3].excess_hf_weak_reference,0.05235805067207559
measurements[1].artifact_aware.per_view[3].gradient_squared_error,5.681518719762624
measurements[1].artifact_aware.per_view[3].weak_reference_pixels,2038801
measurements[1].artifact_aware.gradient_magnitude_ratio,0.07146759214248204
measurements[1].artifact_aware.gradient_cosine,0.0019568387475583666
measurements[1].artifact_aware.reference_aligned_gradient_energy,7973.320434695159
measurements[1].artifact_aware.unmatched_gradient_energy,158725.5730353774
measurements[1].artifact_aware.excess_hf_weak_reference,0.076043784426449
measurements[1].artifact_aware.gradient_squared_error,7.860825570933527
measurements[1].artifact_aware.weak_reference_pixels,2031747.0
measurements[1].peak_cuda_allocated_mib,192.376953125
measurements[1].cpu_rss_mib,1866.9609375
measurements[1].historical_squared_image_energy,7342325.375
measurements[2].id,gate_SOFT_W002
measurements[2].gate,SOFT_W002
measurements[2].width,0.02
measurements[2].kernel,CUBIC_4X4
measurements[2].lobe,CURRENT_LOBE
measurements[2].projected,NONE
measurements[2].transmission_off,False
measurements[2].group,gate
measurements[2].primary,False
measurements[2].cache_digest,e7ac72b0f0f56161a2fafc1bd743bbe9687591510bff51f5e7c4c85cda0aea63
measurements[2].whole_image_mse,17.40841081532922
measurements[2].foreground_mse,1243.6850947085777
measurements[2].interior_gt8px_mse,
measurements[2].silhouette_0_8px_mse,99.55124063577858
measurements[2].total_image_energy,5467138.088925902
measurements[2].foreground_mean_brightness,0.8538862872303943
measurements[2].edge_sharpness,0.42679739160957275
measurements[2].reference_edge_sharpness,2.19512979735671
measurements[2].edge_sharpness_ratio,0.19442922788597994
measurements[2].thin_feature_response_ratio,0.006713249557655562
measurements[2].replay_seconds,0.5059622428379953
measurements[2].artifact_aware.per_view[0].gradient_magnitude_ratio,0.07302898279614622
measurements[2].artifact_aware.per_view[0].gradient_cosine,0.004702633497750451
measurements[2].artifact_aware.per_view[0].reference_aligned_gradient_energy,10858.942723247595
measurements[2].artifact_aware.per_view[0].unmatched_gradient_energy,203160.74780238562
measurements[2].artifact_aware.per_view[0].excess_hf_weak_reference,0.09725951449687213
measurements[2].artifact_aware.per_view[0].gradient_squared_error,9.721235642274614
measurements[2].artifact_aware.per_view[0].weak_reference_pixels,2028939
measurements[2].artifact_aware.per_view[1].gradient_magnitude_ratio,0.07195314699958517
measurements[2].artifact_aware.per_view[1].gradient_cosine,0.006702975306408728
measurements[2].artifact_aware.per_view[1].reference_aligned_gradient_energy,7060.11918226234
measurements[2].artifact_aware.per_view[1].unmatched_gradient_energy,128342.58546912204
measurements[2].artifact_aware.per_view[1].excess_hf_weak_reference,0.06124937131306358
measurements[2].artifact_aware.per_view[1].gradient_squared_error,6.3328392308603325
measurements[2].artifact_aware.per_view[1].weak_reference_pixels,2032827
measurements[2].artifact_aware.per_view[2].gradient_magnitude_ratio,0.0722053994932952
measurements[2].artifact_aware.per_view[2].gradient_cosine,0.0019249822055370676
measurements[2].artifact_aware.per_view[2].reference_aligned_gradient_energy,9436.870960318844
measurements[2].artifact_aware.per_view[2].unmatched_gradient_energy,199343.1558318025
measurements[2].artifact_aware.per_view[2].excess_hf_weak_reference,0.09580495672838696
measurements[2].artifact_aware.per_view[2].gradient_squared_error,9.703599509184384
measurements[2].artifact_aware.per_view[2].weak_reference_pixels,2026421
measurements[2].artifact_aware.per_view[3].gradient_magnitude_ratio,0.07052301728823296
measurements[2].artifact_aware.per_view[3].gradient_cosine,0.0013901333020939742
measurements[2].artifact_aware.per_view[3].reference_aligned_gradient_energy,5600.515039488762
measurements[2].artifact_aware.per_view[3].unmatched_gradient_energy,111002.75573986195
measurements[2].artifact_aware.per_view[3].excess_hf_weak_reference,0.053013225554238284
measurements[2].artifact_aware.per_view[3].gradient_squared_error,5.680202921869488
measurements[2].artifact_aware.per_view[3].weak_reference_pixels,2038801
