method,target_regime,target_seed,selection_seed,active_k,birth_count,image_loss,residual_norm,geometry_rms_error,optimizer_steps,last_step_relative_improvement,gradient_norm,cumulative_scoring_seconds,cumulative_optimization_seconds,total_runtime_seconds,peak_allocated_mib,peak_reserved_mib,best_remaining_candidate_score,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_new_only_gain,responsive_candidate_fraction,zero_jacobian_candidate_fraction,median_affected_pixels,median_affected_views,no_birth_continuation_gain,root_failures
random,sparse,5,307,32,0,14.795654582380438,5.439789441215614,0.002837898765988333,4,9.31570506564832e-09,0.03603348075817631,0.07263846485875547,0.4038107411470264,0.5924893589690328,208.779296875,230.0,4.650679864842194,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.42624045906814e-09,0
random,sparse,5,307,48,16,14.655633283109552,5.413988046368324,0.0028292197456978507,20,0.000653224485889725,0.41169502964063076,1.2430824264883995,2.119405588833615,5.247842821991071,211.974609375,254.0,4.643787700667567,0.02862178452333294,0.4102955014627403,0.009579676195807352,0.00970423269547993,0.9969261884689331,0.003073770320042968,696.0,1.0,0.00012223924074206138,0
random,sparse,5,307,64,32,14.359335387716408,5.358980385804077,0.002797558035811289,36,9.583121791878582e-06,1.9282110984626122,2.40854207216762,3.8276189705356956,9.931491115828976,214.244140625,254.0,4.647470572570412,0.000862880164570893,0.16771797647356612,0.0001376085785889103,0.0003597475748033929,0.9968750476837158,0.0031250002793967724,697.0,1.0,8.78539892568142e-05,0
random,sparse,5,307,96,64,13.943152812419903,5.280748585649558,0.00274217688117429,68,0.00010061820669443375,2.8924815478012906,4.762753304326907,7.391029303893447,19.433979333844036,217.0439453125,266.0,4.243271504618507,0.004998963229855244,0.5315958985388355,0.001403076206667464,0.0024042834002173663,0.9967672228813171,0.003232758492231369,699.0,1.0,0.00046296014896007875,0
random,sparse,5,307,128,96,12.632340232660258,5.026398359195231,0.002652678813228167,100,1.3667691593042376e-05,9.949574358219825,7.126031142426655,11.10384604614228,29.11929809488356,218.08251953125,266.0,4.245920053545468,1.1944773409230659e-05,0.05020297031575172,0.00017265729022497567,0.0,0.996651828289032,0.00334821455180645,694.0,1.0,0.00010652721019432931,0
random,sparse,5,307,192,160,11.730352802808278,4.843625254457302,0.0024880718935974574,164,0.00024753779941750977,10.64407169469235,11.855665640207008,18.93744471576065,48.813503831857815,225.6279296875,266.0,3.8944223839692933,0.023573196274017133,1.0527460064141998,0.002904424674092354,0.011942104083084715,0.9963942766189575,0.003605769481509924,700.0,1.0,0.0023227826747245217,0
random,sparse,5,307,256,224,10.75498450853757,4.637884109922879,0.0024018517993341275,228,7.550106950481245e-05,11.543591443073868,16.58481275383383,27.253361018607393,68.98987273685634,232.34130859375,266.0,3.655115567018597,0.00014477757496662692,0.4533793322205991,0.0008120741453634395,0.0,0.9973958730697632,0.0026041667442768812,705.0,1.0,0.00039741734199871814,0
random,sparse,5,401,32,0,14.795654582380342,5.439789441215596,0.002837898765988335,4,9.31571575093134e-09,0.036033480760854025,0.07673759711906314,0.40980111504904926,0.6064467129763216,208.779296875,230.0,4.650679864842234,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.42624045906814e-09,0
random,sparse,5,401,48,16,14.59537480965389,5.402846436769027,0.002814175256837952,20,0.00024289914970859026,3.069132602033652,1.2584133469499648,2.1525620606262237,5.3776392170693725,212.9140625,254.0,4.457588967125878,0.006558353657016573,3.06226832526566,0.0035460654672299086,0.0,0.9969261884689331,0.003073770320042968,693.0,1.0,1.0645531006048259e-05,0
random,sparse,5,401,64,32,14.515337699114347,5.388012193585747,0.0028044160487204805,36,2.4743880205838158e-05,1.9836574879380051,2.435564786195755,3.9187057355884463,10.167274623177946,213.17578125,266.0,4.458417496227109,0.0006852732673115407,1.9826631214908108,0.00035917466455437363,0.0,0.9968750476837158,0.0031250002793967724,693.0,1.0,3.1604223948988874e-07,0
random,sparse,5,401,96,64,14.070620392025273,5.304831833720137,0.0027667307113048174,68,4.2067924670716585e-05,5.688352864381432,4.787488964851946,7.550043105846271,19.751937404973432,218.453125,278.0,3.7824484538556176,0.0011761922317680322,0.4021958708574665,0.0005919467006911816,1.7763568394002505e-15,0.9967672228813171,0.003232758492231369,692.0,1.0,9.75519716135409e-05,0
random,sparse,5,401,128,96,13.9493050999724,5.281913497961208,0.002747227436811359,100,1.0216091238482803e-05,5.456370800218354,7.150702074170113,11.306572887813672,29.456576656084508,224.28857421875,278.0,3.6478733543297173,3.644191343446173e-08,0.003973440269881119,0.00014250882949795596,0.0,0.996651828289032,0.00334821455180645,692.0,1.0,2.7447373176059386e-05,0
random,sparse,5,401,192,160,12.549859709116404,5.009962017643727,0.0026687467022976055,164,7.34067165121483e-05,5.593860291599384,11.875989193096757,19.133185132639483,49.18063337402418,228.63037109375,278.0,3.633901232329823,0.0005247564501662189,0.9287061151756146,0.0009213116243973474,0.0,0.9963942766189575,0.003605769481509924,692.0,1.0,0.0006031414969633886,0
