absorbed_transport_samples,angular_bandwidth_radians,angular_neighbors,atlas_anchor,atlas_direction_id,atlas_neighbor,boundary_events,camera_count,center_of_mass_error_normalized,depth_rmse_on_overlap,direct_support_fraction,direction,edge_f1,emitted_transport_samples,event_digest,events_per_occupied_spatial_angular_cell,field_build_seconds,field_digest,field_digest_unchanged,field_occupancy_fraction,field_occupied_bins,foreground_fraction,h_omega_radians,h_y_pixels,interpolated_support_fraction,maximum_readout_peak_allocated_mib,mean_readout_seconds,name,nearest_angular_distance_radians,no_support_fraction,occupied_light_field_support,phase,pixel_mse,psnr,readout_peak_allocated_mib,readout_seconds,readout_variance_to_max,reference_foreground_fraction,scene_plus_field_plus_readout_seconds,scene_plus_field_seconds,scene_transport_seconds,scene_traversals,silhouette_f1,silhouette_iou,silhouette_precision,silhouette_recall,spatial_bandwidth_pixels,ssim,support_threshold,surface_samples,total_readout_seconds,view
,,,,,,,1,,,,,,,596857e900549c25238819ecb6874c8f071383aeb26fe4a461c45505362f80fe,,0.4610258999746293,543f00b31fa536ac47bee521e3fb368d4dcee45e4de7b91dd0bdb6c0de178b28,,,,,,,,227.87890625,0.016437401063740253,camera_scaling_1,,,,camera_scaling,,,,,,,62.659960253862664,62.64297395898029,62.18194805900566,0,,,,,,,,,0.01698629488237202,
,,,,,,,2,,,,,,,596857e900549c25238819ecb6874c8f071383aeb26fe4a461c45505362f80fe,,0.4610258999746293,543f00b31fa536ac47bee521e3fb368d4dcee45e4de7b91dd0bdb6c0de178b28,,,,,,,,228.25390625,0.01691555744037032,camera_scaling_2,,,,camera_scaling,,,,,,,62.67838059994392,62.64297395898029,62.18194805900566,0,,,,,,,,,0.03540664096362889,
,,,,,,,4,,,,,,,596857e900549c25238819ecb6874c8f071383aeb26fe4a461c45505362f80fe,,0.4610258999746293,543f00b31fa536ac47bee521e3fb368d4dcee45e4de7b91dd0bdb6c0de178b28,,,,,,,,228.25390625,0.016780944541096687,camera_scaling_4,,,,camera_scaling,,,,,,,62.71265481389128,62.64297395898029,62.18194805900566,0,,,,,,,,,0.06968085491098464,
,,,,,,,8,,,,,,,596857e900549c25238819ecb6874c8f071383aeb26fe4a461c45505362f80fe,,0.4610258999746293,543f00b31fa536ac47bee521e3fb368d4dcee45e4de7b91dd0bdb6c0de178b28,,,,,,,,228.25390625,0.016773638228187338,camera_scaling_8,,,,camera_scaling,,,,,,,62.78116601402871,62.64297395898029,62.18194805900566,0,,,,,,,,,0.13819205504842103,
,,,,,,,20,,,,,,,596857e900549c25238819ecb6874c8f071383aeb26fe4a461c45505362f80fe,,0.4610258999746293,543f00b31fa536ac47bee521e3fb368d4dcee45e4de7b91dd0bdb6c0de178b28,,,,,,,,228.81640625,0.016635718883480876,camera_scaling_20,,,,camera_scaling,,,,,,,62.9908278058283,62.64297395898029,62.18194805900566,0,,,,,,,,,0.347853846848011,
,,,,,,,40,,,,,,,596857e900549c25238819ecb6874c8f071383aeb26fe4a461c45505362f80fe,,0.4610258999746293,543f00b31fa536ac47bee521e3fb368d4dcee45e4de7b91dd0bdb6c0de178b28,,,,,,,,228.56640625,0.01671691318624653,camera_scaling_40,,,,camera_scaling,,,,,,,63.33811564510688,62.64297395898029,62.18194805900566,0,,,,,,,,,0.6951416861265898,
41907,0.12,4,,,,236743,,0.03746881082411426,inf,0.045989990234375,,0.35644859413795543,278650,,0.29396141324187874,,,True,0.09035828534294577,805354,0.0510101318359375,,,0.0050201416015625,,,sample_convergence_278650,0.0,0.9489898681640625,805354,sample_convergence,0.13173574218749995,8.802963774388834,227.88330078125,0.01618277607485652,0.13614169921875005,0.3010711669921875,,,,,0.27823524313079656,0.16159887233185663,0.9602153754113072,0.16268815569408546,0.65,0.6583279053648043,0.5,4096,,
167360,0.12,4,,,,946919,,0.0022596162686064456,inf,0.2343292236328125,,0.305813093598202,1114279,,0.4785333895291779,,,True,0.22201470767750459,1978794,0.2658538818359375,,,0.031524658203125,,,sample_convergence_1114279,0.0,0.7341461181640625,1978794,sample_convergence,0.027084374999999997,15.672811817560465,227.94140625,0.01705249398946762,0.024766699218750004,0.3010711669921875,,,,,0.9078430317058728,0.8312386021982355,0.9679733685358434,0.8547463382494551,0.65,0.7288490260481733,0.5,16384,,
669289,0.12,4,,,,3787923,,0.0020618019339811488,inf,0.3102569580078125,,0.9621155270893579,4457212,,1.4820089532688194,,,True,0.28676852057961855,2555938,0.31231689453125,,,0.0020599365234375,,,sample_convergence_4457212,0.0,0.68768310546875,2555938,sample_convergence,0.005845605468749998,22.331704993663365,227.94140625,0.017285062931478024,0.0006802734374999998,0.3010711669921875,,,,,0.9816164581208487,0.963896624163369,0.9639437170216923,0.9999493183315594,0.65,0.9455010456174375,0.5,65536,,
2677462,0.12,4,,,,15151403,,0.002310572054958896,inf,0.3116607666015625,,0.945082385041408,17828865,,5.89346038172084,,,True,0.28844541661879597,2570884,0.313629150390625,,,0.0019683837890625,,,sample_convergence_17828865,0.0,0.686370849609375,2570884,sample_convergence,0.00652587890625,21.85360989211237,227.94140625,0.016669424017891288,0.0,0.3010711669921875,,,,,0.9795209134913739,0.9598637801021649,0.9599104797119782,0.9999493183315594,0.65,0.9403173154879524,0.5,262144,,
,,1,,,,,,0.0021938034384892465,inf,0.0,,0.9490833545941612,,,,,,True,0.28844541661879597,2570884,0.3140716552734375,0.0,0.0,0.3140716552734375,,,bandwidth_hy0_homega0,0.03210784754187004,0.6859283447265625,,bandwidth,0.007348535156249999,21.337992237675202,40.94140625,0.0020367400720715523,,0.3009033203125,,,,,0.9769496067290276,0.9549379123011253,0.9564689306709421,0.9983265720081136,,0.9371113582734211,0.5,,,
,,1,,,,,,0.0021938034384892465,inf,0.0,,0.9490833545941612,,,,,,True,0.28844541661879597,2570884,0.3140716552734375,0.0,0.65,0.3140716552734375,,,bandwidth_hy065_homega0,0.03210784754187004,0.6859283447265625,,bandwidth,0.00734853515625,21.337992237675202,186.87890625,0.005340842064470053,,0.3009033203125,,,,,0.9769496067290276,0.9549379123011253,0.9564689306709421,0.9983265720081136,,0.937111358273483,0.5,,,
,,1,,,,,,0.0021826943320698675,inf,0.0,,0.9497326620614291,,,,,,True,0.28844541661879597,2570884,0.3140716552734375,0.0,1.25,0.3140716552734375,,,bandwidth_hy125_homega0,0.03210784754187004,0.6859283447265625,,bandwidth,0.007348535156249998,21.33799223767521,357.75390625,0.008467870065942407,,0.3009033203125,,,,,0.9769496067290276,0.9549379123011253,0.9564689306709421,0.9983265720081136,,0.9371081331191323,0.5,,,
,,4,,,,,,0.0014060375075066842,inf,0.0,,0.9938744257274119,,,,,,True,0.28844541661879597,2570884,0.313629150390625,0.04,0.65,0.313629150390625,,,bandwidth_hy065_homega004,0.03210784754187004,0.686370849609375,,bandwidth,0.006597070312500001,21.806488871234233,227.94140625,0.01725399703718722,,0.3009033203125,,,,,0.9792918508218701,0.9594239564075119,0.9594239564075119,1.0,,0.937617446360376,0.5,,,
,,4,,,,,,0.0013513939207731366,inf,0.0,,0.9946442234123947,,,,,,True,0.28844541661879597,2570884,0.313385009765625,0.12,0.65,0.313385009765625,,,bandwidth_hy065_homega012,0.03210784754187004,0.686614990234375,,bandwidth,0.0064863281249999995,21.880010853774454,227.94140625,0.01674185902811587,,0.3009033203125,,,,,0.9796313776143872,0.9600759530649009,0.9601226993865031,0.999949290060852,,0.938628688612912,0.5,,,
,,8,,,,,,0.0014721675108912034,inf,0.0,,0.9808987617766453,,,,,,True,0.28844541661879597,2570884,0.31280517578125,0.24,0.65,0.31280517578125,,,bandwidth_hy065_homega024,0.03210784754187004,0.68719482421875,,bandwidth,0.0064388671875,21.91190532871961,227.94140625,0.031127531081438065,,0.3009033203125,,,,,0.9797613127797116,0.9603255836623288,0.9611219512195122,0.9991379310344828,,0.9406565854993069,0.5,,,
