active_bases_per_query,active_k,active_parameters_per_affected_pixel,actual_batch_size,best_remaining_candidate_score,birth_count,birth_round,birth_rounds,birth_top10_fraction,birth_top25_fraction,candidate_jacobian_nnz,cg_failures,chamfer_recovered_headroom_percent,cumulative_optimization_seconds,cumulative_scoring_seconds,geometry_rms_error,gradient_norm,image_loss,independent_sum_gain,joint_to_independent_ratio,last_new_only_gain,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_step_relative_improvement,line_search_failures,maximum_batch_size,mean_batch_size,median_affected_pixels,median_affected_views,median_batch_size,method,minimum_denominator_magnitude,near_null_candidate_fraction,no_birth_continuation_gain,nominal_batch_size,nonfinite_candidate_score_count,normal_consistency,normal_error,optimizer_steps,p2s_p95_recovered_headroom_percent,pairwise_correlation_max,pairwise_correlation_mean,peak_allocated_mib,peak_reserved_mib,point_to_surface_mean,point_to_surface_p95,predicted_batch_gain,regional_ear_p2s_mean,regional_ear_recovered_headroom_percent,regional_head_p2s_mean,regional_head_recovered_headroom_percent,regional_leg_p2s_mean,regional_leg_recovered_headroom_percent,regional_torso_p2s_mean,regional_torso_recovered_headroom_percent,requested_k,residual_norm,responsive_candidate_fraction,rho_off,root_failures,selection_seed,sigma,surface_rms,symmetric_chamfer,target_regime,target_seed,total_runtime_seconds,transport_event_fraction,zero_jacobian_candidate_fraction
,0,,,,,,0,,,,,0.0,0.0,0.0,,,38.783085142116754,,,,,,,,,0,0.0,,,0.0,base,,,,,,0.9848988195228501,0.015101180477149923,,0.0,,,0.0,,0.0027100602138755937,0.007063585749174949,,0.003301353806853918,0.0,0.0020248231286600993,0.0,0.004530404154138295,0.0,0.0017270811802957945,0.0,,,,,0,,1.5,0.005891512404351163,0.009375574996282202,,,0.0,0.00170135498046875,
2.6119384765625,32,,,,0,,0,,,,0,24.59108032458741,1.6959903279785067,0.0,0.0028336085124495637,,36.57236256266607,,,,,,,,0,0,0.0,,,0.0,fixed_space,0.38623930760295944,,,,,0.9850810164076027,0.014918983592397295,5,23.90908447504231,,,549.2685546875,566.0,0.002578329746078151,0.0067544522584080495,,0.0030965767441591225,13.638562770601826,0.0016931255169091214,52.465803615491744,0.004448312903433087,24.665089264836467,0.0016408229034003833,22.60934591683985,,8.55246894910073,,,0,0,1.5,0.0058290160577305255,0.009293792131943443,bunny,0,1.775245683034882,0.00170135498046875,
6.514892578125,256,,,,0,,0,,,,0,55.3545923307835,5.714563781861216,0.0,0.0026170907673224416,,32.50490300415212,,,,,,,,0,0,0.0,,,0.0,fixed_space,0.4789790929641169,,,,,0.9853998610089221,0.014600138991077927,16,74.10144455317688,,,613.38525390625,656.0,0.002406619460450208,0.006105488075066794,,0.0024027777987513876,59.84696298202475,0.0016204436869579183,63.96214993075321,0.004425620477410829,31.48324234042605,0.0015279406821061422,52.19715222321107,,8.062865868182618,,,0,0,1.5,0.005721194159260366,0.00919148153412595,bunny,0,5.794837067136541,0.00170135498046875,
9.0928955078125,1024,,,,0,,0,,,,0,100.0,6.115851445123553,0.0,0.0023422839794554166,,28.451992012239064,,,,,,,,0,0,0.0,,,0.0,fixed_space,0.4771344459908902,,,,,0.9855761722769716,0.014423827723028415,16,100.00000000000001,,,655.70556640625,700.0,0.0021446478182354516,0.005770631637571089,,0.0017998974867188078,100.0,0.00139260635336413,100.0,0.004197580502767042,100.0,0.0013455651593870938,100.0,,7.543472941853648,,,0,0,1.5,0.005591476328907852,0.009043003741748953,bunny,0,6.194898822112009,0.00170135498046875,
2.6119384765625,32,2.824718008771833,0,1.0468495992091664,0,0,8,,,2726522.0,0,24.59108032458741,1.7476558738853782,0.04853675304912031,0.00283360851244957,0.32525648374388627,36.572362562666065,,,,,,,3.576415822189361e-08,0,32,28,388.0,2.0,32.0,dynamic,0.38623930760295977,0.021169353276491165,0.0,0,0.0,0.9850810164076027,0.014918983592397295,5,23.90908447504231,0.0,0.0,282.7607421875,354.0,0.002578329746078151,0.0067544522584080495,,0.0030965767441591225,13.638562770601826,0.0016931255169091214,52.465803615491744,0.004448312903433087,24.665089264836467,0.0016408229034003833,22.60934591683985,32,8.55246894910073,0.9808467626571655,0.0,0,0,1.5,0.0058290160577305255,0.009293792131943443,bunny,0,1.8746389539446682,0.00170135498046875,0.019153226166963577
2.923583984375,61,3.0287941473785134,29,0.4420853847742753,29,1,8,0.5862068965517241,0.7931034482758621,2721881.0,0,51.72202030415746,2.144530469784513,0.1250269473530352,0.0025430457577164263,286.01338800344075,33.106015705639834,7.35114721778421,0.9874444317557731,,7.258849387217962,1041.1149138908759,3.466346857026231,0.09478050128937436,0,32,28,380.0,2.0,32.0,dynamic,0.46786637576154155,0.021806854754686356,0.0,32,0.0,0.9853161585670982,0.0146838414329018,6,80.83077059824261,0.08957596213075517,0.0008557122213095845,359.84375,394.0,0.0024437413416515787,0.006018480977283887,7.258849387217962,0.0025239832672514016,51.77443587120561,0.0016743077590121278,55.442276026902235,0.004389753793818834,42.25972515473976,0.001573591676003839,40.23147020834719,64,8.137077571909934,0.979231595993042,0.016342413378046455,0,0,1.5,0.005709684457135805,0.009203562424486724,bunny,0,2.643178056925535,0.00170135498046875,0.020768433809280396
3.1641845703125,93,3.2919670389736293,32,0.07813372230885007,61,2,8,0.375,0.75,2720484.0,0,61.16426603482629,2.5530525830108672,0.202394082210958,0.0024490254908119645,102.21680139678914,31.744920227027457,2.929441034892052,1.0005247267585882,,2.9309781909907664,455.33326427873305,1.361095478612377,0.04111323726522936,0,32,28,369.0,2.0,32.0,dynamic,0.48404714251350955,0.02255639061331749,0.0,32,0.0,0.9854375351637905,0.014562464836209488,7,99.33515471539951,0.0451276670704144,0.00029399108619593674,361.98388671875,394.0,0.002393241172884822,0.005779227782014135,2.9309781909907664,0.0023549559509859867,63.03199388329649,0.001647438543298032,59.69227646409676,0.004332087765457688,59.586026372684735,0.001557953525707615,44.330420039858,96,7.9680512331469675,0.9785177707672119,0.006992561810565636,0,0,1.5,0.00566063372300723,0.009172160229404126,bunny,0,3.492429877864197,0.00170135498046875,0.021482277661561966
3.4708251953125,125,3.6518586884069117,32,0.049507923463856504,93,3,8,0.1875,0.46875,2719569.0,0,73.37502100816162,2.9660963269416243,0.279020146233961,0.002368373247228977,96.5334935615059,30.94719370556401,1.5897768305507187,0.9969585273132788,,1.5849415677426166,381.81189831677773,0.7977265214634457,0.025129265273260853,0,32,28,362.0,2.0,32.0,dynamic,0.47530257011671195,0.023359287530183792,0.0,32,0.0,0.9854877504310893,0.014512249568910729,8,110.47323047304454,0.06006519391355541,0.00040764947104172337,364.869140625,414.0,0.002324679738124626,0.005635217573552111,1.5849415677426166,0.0021776461427010564,74.84118246288666,0.0016184239662217785,64.28161641994821,0.004264556002340183,79.8765804962484,0.001512946253455155,56.12737476413433,128,7.8672986095055535,0.9777530431747437,0.010797818648737804,0,0,1.5,0.005623480274866259,0.009131550768401324,bunny,0,4.348355537978932,0.00170135498046875,0.022246940061450005
3.7108154296875,157,3.94670917086071,32,0.0308623266187057,125,4,8,0.15625,0.59375,2718896.0,0,81.58495882237197,3.3802508788648993,0.356650602305308,0.002320529689429094,67.85516490988864,30.395493572819476,0.9207971919301069,0.9998294411949429,,0.9206401418613513,272.2657003377959,0.5517001327445357,0.01782714575006243,0,32,28,352.0,2.0,32.0,dynamic,0.483795616825567,0.024221451953053474,0.0,32,0.0,0.9855059853732908,0.014494014626709184,9,118.50536579863483,0.0337556611818505,0.0002871682729632843,366.42626953125,414.0,0.002276986563239181,0.005531365749610305,0.9206401418613513,0.002095588861717092,80.30636182798337,0.0015651929954712141,72.70135041477056,0.004192305853178835,101.58481813611344,0.0014903522210676522,62.04954608833926,160,7.7968575173360035,0.9769319295883179,0.006525218457216904,0,0,1.5,0.005600060055474551,0.009104246875216205,bunny,0,5.204040214885026,0.00170135498046875,0.023068049922585487
3.9866943359375,189,4.238884277618945,32,0.026145662160303087,157,5,8,0.21875,0.65625,2718575.0,0,86.41751696494494,3.7805702798068523,0.43200346431694925,0.002293995351677799,57.69473868663483,30.045159284695018,0.6404478807560492,0.9970995171672385,,0.6385902726726378,191.14159409221395,0.35033428812445777,0.011525862782427305,0,32,28,347.0,2.0,32.0,dynamic,0.4781839829799472,0.025149701163172722,0.0,32,0.0,0.9855356181107817,0.01446438188921828,10,121.60707608543146,0.030150661164806386,0.00016359126007953943,368.42919921875,414.0,0.002247656345458378,0.005491262058927128,0.6385902726726378,0.002015668959186505,85.6291875045502,0.0015579112163701476,73.8531355912486,0.004153386035807708,113.2786437433909,0.0014764334322068836,65.69783032752181,192,7.7517945386465215,0.976047933101654,0.001221102366119597,0,0,1.5,0.005584436841995018,0.009088175175975401,bunny,0,6.004843540024012,0.00170135498046875,0.023952096700668335
