run,iteration,loss,c0,delta_c,c_pred,trigger,Jv_norm,g_c,h_c,sampled_gradient_min,chart_denominator_min,complex_bypass,accepted_c,accepted_loss,stop
A_real_only_discrete,0,3.486558989429951e-05,-0.005,0.010629004351987104,0.0056290043519871035,True,15.71623010678529,-2.625362892670542,246.99988876942433,0.43717505379057636,0.43717505379057636,False,0.0003145021759935517,1.0543856724109565e-05,
A_real_only_discrete,1,1.0543856724109565e-05,0.0003145021759935517,0.00624461610227539,0.006559118278268942,False,15.94998223093363,-1.588642408305252,254.40193316709866,0.42697481582527036,0.42369046761539175,False,0.0034368102271312467,4.564490636910765e-06,
A_real_only_discrete,2,4.564490636910765e-06,0.0034368102271312467,0.001975295349876159,0.005412105577007406,False,15.970874105730065,-0.503836253453942,255.06881970107912,0.42518485733288036,0.4166860589564342,False,0.004424457902069326,1.3791683289487478e-08,
A_real_only_discrete,3,1.3791683289487478e-08,0.004424457902069326,0.0005759597273672839,0.00500041762943661,False,15.982397234322383,-0.14712143717952603,255.43702135567565,0.4252998110756683,0.41462019588472293,False,0.00500041762943661,7.272274915386305e-15,
A_real_only_discrete,4,7.272274915386305e-15,0.00500041762943661,-4.1762922102654643e-07,0.005000000000215583,False,16.005522988614967,0.00010698690328776468,256.17676613908225,0.4255197485753451,0.4134494355239942,False,0.005000000000215583,1.9367649248910354e-27,
A2_real_only_continuous,0,3.486558989429951e-05,-0.005,0.010629004351987104,0.0056290043519871035,True,15.71623010678529,-2.625362892670542,246.99988876942433,0.43717505379057636,0.43717505379057636,False,-0.002342748912003224,1.2202605472927164e-05,
A2_real_only_continuous,1,1.2202605472927164e-05,-0.002342748912003224,0.0089677125965411,0.006624963684537876,True,15.818414202206199,-2.243921024827323,250.2222278725588,0.4309955582133977,0.4301966026118419,False,-0.0001008207628679491,1.0765614141748994e-05,
A2_real_only_continuous,2,1.0765614141748994e-05,-0.0001008207628679491,0.006666400008439854,0.006565579245571905,True,15.931299064448387,-1.69197425300408,253.80628988089404,0.4274550247589259,0.42467506423656004,False,-1.0082076286794911e-05,1.0715971613486568e-05,
A2_real_only_continuous,3,1.0715971613486568e-05,-1.0082076286794911e-05,0.006573675358797846,0.0065635932825110505,True,15.9357073012019,-1.6693636059205121,253.9467671895795,0.4273453450202275,0.4244589140686691,False,-1.0082076286794912e-06,1.0711044099546144e-05,
A2_real_only_continuous,4,1.0711044099546144e-05,-1.0082076286794912e-06,0.006564404615594709,0.00656339640796603,True,15.936147410874588,-1.6671014102904018,253.96079430112476,0.4273345232806952,0.42443733090643976,False,-1.0082076286794913e-07,1.0710551715664574e-05,
B_complex_capable,0,3.486558989429951e-05,-0.005,0.010629004351987104,0.0056290043519871035,True,15.71623010678529,-2.625362892670542,246.99988876942433,0.43717505379057636,0.43717505379057636,True,0.0003145021759935517,1.0543856724109565e-05,
B_complex_capable,1,1.0543856724109565e-05,0.0003145021759935517,0.00624461610227539,0.006559118278268942,False,15.94998223093363,-1.588642408305252,254.40193316709866,0.42697481582527036,0.42369046761539175,False,0.0034368102271312467,4.564490636910765e-06,
B_complex_capable,2,4.564490636910765e-06,0.0034368102271312467,0.001975295349876159,0.005412105577007406,False,15.970874105730065,-0.503836253453942,255.06881970107912,0.42518485733288036,0.4166860589564342,False,0.004424457902069326,1.3791683289487478e-08,
B_complex_capable,3,1.3791683289487478e-08,0.004424457902069326,0.0005759597273672839,0.00500041762943661,False,15.982397234322383,-0.14712143717952603,255.43702135567565,0.4252998110756683,0.41462019588472293,False,0.00500041762943661,7.272274915386305e-15,
B_complex_capable,4,7.272274915386305e-15,0.00500041762943661,-4.1762922102654643e-07,0.005000000000215583,False,16.005522988614967,0.00010698690328776468,256.17676613908225,0.4255197485753451,0.4134494355239942,False,0.005000000000215583,1.9367649248910354e-27,
C_same_side,0,1.5965880260705846e-07,-0.005,-0.001992832086015997,-0.006992832086015997,False,15.71623010678529,0.4922293035820912,246.99988876942433,0.43717505379057636,0.43717505379057636,False,-0.006992832086015997,2.035955912267227e-12,
C_same_side,1,2.035955912267227e-12,-0.006992832086015997,-7.167819064853694e-06,-0.006999999905080851,False,15.603526185104036,0.0017451491185199496,243.47002940922738,0.44312455212803786,0.4427001765861396,False,-0.006999999905080851,3.570097836849862e-22,
C_same_side,2,3.570097836849862e-22,-0.006999999905080851,-9.491927457082111e-11,-0.007000000000000126,False,15.603112934547738,2.310877447701571e-08,243.45713324825093,0.4431478738775825,0.4427204812643749,False,-0.007000000000000126,6.407735933336227e-32,
C_same_side,3,6.407735933336227e-32,-0.007000000000000126,1.0814132258769365e-16,-0.0070000000000000175,False,15.60311292907495,-2.6327776364405292e-14,243.4571330774658,0.44314787418650686,0.44272048153327737,False,-0.0070000000000000175,9.118110335078157e-33,
C_same_side,4,9.118110335078157e-33,-0.0070000000000000175,2.6580279742000826e-17,-0.006999999999999991,False,15.603112929074952,-6.471158702384565e-15,243.45713307746587,0.4431478741865068,0.4427204815332773,False,,,UNOBSERVABLE_OR_STATIONARY
D_weak_observability,0,0.0,-0.005,,,False,0.0,0.0,0.0,0.43717505379057636,0.43717505379057636,False,,,UNOBSERVABLE_OR_STATIONARY
