metric,value
chart_definition.chart_radii_by_id[62],0.3181980515339464
chart_definition.chart_radii_by_id[63],0.3181980515339464
chart_definition.frozen_reference_area_corrections_by_id[0],0.07766166921468767
chart_definition.frozen_reference_area_corrections_by_id[1],0.2218904834705362
chart_definition.frozen_reference_area_corrections_by_id[2],0.07988057404939303
chart_definition.frozen_reference_area_corrections_by_id[3],0.19970143512348257
chart_definition.frozen_reference_area_corrections_by_id[4],0.2152337689664201
chart_definition.frozen_reference_area_corrections_by_id[5],0.14422881425584852
chart_definition.frozen_reference_area_corrections_by_id[6],0.3017710575199292
chart_definition.frozen_reference_area_corrections_by_id[7],0.03550247735528579
chart_definition.frozen_reference_area_corrections_by_id[8],0.019970143512348257
chart_definition.frozen_reference_area_corrections_by_id[9],0.1752934819417236
chart_definition.frozen_reference_area_corrections_by_id[10],0.12425867074350028
chart_definition.frozen_reference_area_corrections_by_id[11],0.08431838371880375
chart_definition.frozen_reference_area_corrections_by_id[12],0.09319400305762521
chart_definition.frozen_reference_area_corrections_by_id[13],0.2152337689664201
chart_definition.frozen_reference_area_corrections_by_id[14],0.14866662392525926
chart_definition.frozen_reference_area_corrections_by_id[15],0.13091538524761637
chart_definition.frozen_reference_area_corrections_by_id[16],0.044378096694107236
chart_definition.frozen_reference_area_corrections_by_id[17],0.17085567227231288
chart_definition.frozen_reference_area_corrections_by_id[18],0.104288527231152
chart_definition.frozen_reference_area_corrections_by_id[19],0.38165163156932225
chart_definition.frozen_reference_area_corrections_by_id[20],0.046597001528812604
chart_definition.frozen_reference_area_corrections_by_id[21],0.11538305140467882
chart_definition.frozen_reference_area_corrections_by_id[22],0.022189048347053618
chart_definition.frozen_reference_area_corrections_by_id[23],0.07766166921468767
chart_definition.frozen_reference_area_corrections_by_id[24],0.1508855287599646
chart_definition.frozen_reference_area_corrections_by_id[25],0.10650743206585737
chart_definition.frozen_reference_area_corrections_by_id[26],0.13091538524761637
chart_definition.frozen_reference_area_corrections_by_id[27],0.12647757557820563
chart_definition.frozen_reference_area_corrections_by_id[28],0.09763181272703593
chart_definition.frozen_reference_area_corrections_by_id[29],0.11760195623938419
chart_definition.frozen_reference_area_corrections_by_id[30],0.1109452417352681
chart_definition.frozen_reference_area_corrections_by_id[31],0.09319400305762521
chart_definition.frozen_reference_area_corrections_by_id[32],0.12425867074350028
chart_definition.frozen_reference_area_corrections_by_id[33],0.09985071756174128
chart_definition.frozen_reference_area_corrections_by_id[34],0.16198005293349144
chart_definition.frozen_reference_area_corrections_by_id[35],0.1508855287599646
chart_definition.frozen_reference_area_corrections_by_id[36],0.12869648041291099
chart_definition.frozen_reference_area_corrections_by_id[37],0.07766166921468767
chart_definition.frozen_reference_area_corrections_by_id[38],0.048815906363517965
chart_definition.frozen_reference_area_corrections_by_id[39],0.13757209975173243
chart_definition.frozen_reference_area_corrections_by_id[40],0.25517405599111664
chart_definition.frozen_reference_area_corrections_by_id[41],0.16198005293349144
chart_definition.frozen_reference_area_corrections_by_id[42],0.1508855287599646
chart_definition.frozen_reference_area_corrections_by_id[43],0.18416910128054503
chart_definition.frozen_reference_area_corrections_by_id[44],0.14866662392525926
chart_definition.frozen_reference_area_corrections_by_id[45],0.14200990942114317
chart_definition.frozen_reference_area_corrections_by_id[46],0.2041392447928933
chart_definition.frozen_reference_area_corrections_by_id[47],0.13091538524761637
chart_definition.frozen_reference_area_corrections_by_id[48],0.03772138218999115
chart_definition.frozen_reference_area_corrections_by_id[49],0.1641989577681968
chart_definition.frozen_reference_area_corrections_by_id[50],0.22410938830524155
chart_definition.frozen_reference_area_corrections_by_id[51],0.16641786260290214
chart_definition.frozen_reference_area_corrections_by_id[52],0.15532333842937535
chart_definition.frozen_reference_area_corrections_by_id[53],0.10872633690056274
chart_definition.frozen_reference_area_corrections_by_id[54],0.10206962239644665
chart_definition.frozen_reference_area_corrections_by_id[55],0.09985071756174128
chart_definition.frozen_reference_area_corrections_by_id[56],0.17085567227231288
chart_definition.frozen_reference_area_corrections_by_id[57],0.27070638983405415
chart_definition.frozen_reference_area_corrections_by_id[58],0.24851734148700055
chart_definition.frozen_reference_area_corrections_by_id[59],0.12869648041291099
chart_definition.frozen_reference_area_corrections_by_id[60],0.17751238677642894
chart_definition.frozen_reference_area_corrections_by_id[61],0.14200990942114317
chart_definition.frozen_reference_area_corrections_by_id[62],0.15310443359466996
chart_definition.frozen_reference_area_corrections_by_id[63],0.26626858016464344
chart_definition.chart_center_initialization,basis center c_k already on reference zero set; frozen p_k0=c_k
chart_definition.chart_center_update,one scale-aware projection from p_k0
chart_definition.lambda_is_energy,False
tangent_frame_continuity.selected_method,PROJECTED_REFERENCE_DIRECTION
tangent_frame_continuity.reference_frame_initialization,least-aligned axis used once at F0 only
tangent_frame_continuity.rows[0].method,NAIVE_AXIS
tangent_frame_continuity.rows[0].maximum_frame_angular_change,0.0033359294135023566
tangent_frame_continuity.rows[0].median_frame_angular_change,0.0
tangent_frame_continuity.rows[0].maximum_sample_position_change,0.014231663699010503
tangent_frame_continuity.rows[0].median_sample_position_change,0.0
tangent_frame_continuity.rows[0].position_change_per_coefficient,7.115831849505251
tangent_frame_continuity.rows[0].controlled_axis_switch_maximum_jump,1.7400333147561704
tangent_frame_continuity.rows[1].method,MINIMAL_ROTATION
tangent_frame_continuity.rows[1].maximum_frame_angular_change,0.0031268541836511226
tangent_frame_continuity.rows[1].median_frame_angular_change,0.0
tangent_frame_continuity.rows[1].maximum_sample_position_change,0.014231639911252373
tangent_frame_continuity.rows[1].median_sample_position_change,0.0
tangent_frame_continuity.rows[1].position_change_per_coefficient,7.115819955626186
tangent_frame_continuity.rows[2].method,PROJECTED_REFERENCE
tangent_frame_continuity.rows[2].maximum_frame_angular_change,0.0031268458214498245
tangent_frame_continuity.rows[2].median_frame_angular_change,0.0
tangent_frame_continuity.rows[2].maximum_sample_position_change,0.014231626102547544
tangent_frame_continuity.rows[2].median_sample_position_change,0.0
tangent_frame_continuity.rows[2].position_change_per_coefficient,7.115813051273772
tangent_frame_continuity.selected_maximum_frame_angular_change,0.0031268458214498245
tangent_frame_continuity.selected_maximum_sample_position_change,0.014231626102547544
tangent_frame_continuity.naive_control_axis_switch_jump,1.7400333147561704
geodesic_mapping.method,fixed-step projected geodesic walk
geodesic_mapping.steps,4
geodesic_mapping.step_size,rho_m*R_chart/config.geodesic_steps
geodesic_mapping.step_sizes_by_latent_id[0],0.08817430111408278
geodesic_mapping.step_sizes_by_latent_id[1],0.0440290356851119
geodesic_mapping.step_sizes_by_latent_id[2],0.07662889049533951
geodesic_mapping.step_sizes_by_latent_id[3],0.10059802788226707
geodesic_mapping.step_sizes_by_latent_id[4],0.1068381717246025
geodesic_mapping.step_sizes_by_latent_id[5],0.0676554909546805
geodesic_mapping.step_sizes_by_latent_id[6],0.025736865939296184
geodesic_mapping.step_sizes_by_latent_id[7],0.09513457626940747
geodesic_mapping.step_sizes_by_latent_id[8],0.09002648191212885
geodesic_mapping.step_sizes_by_latent_id[9],0.035579484317561326
geodesic_mapping.step_sizes_by_latent_id[10],0.05983534385832691
geodesic_mapping.step_sizes_by_latent_id[11],0.10940844646028895
geodesic_mapping.step_sizes_by_latent_id[12],0.10340918187535536
geodesic_mapping.step_sizes_by_latent_id[13],0.06968468612685225
geodesic_mapping.step_sizes_by_latent_id[14],0.0505978074655016
geodesic_mapping.step_sizes_by_latent_id[15],0.08251949276443578
geodesic_mapping.step_sizes_by_latent_id[16],0.08172549332290477
geodesic_mapping.step_sizes_by_latent_id[17],0.05510813397764223
geodesic_mapping.step_sizes_by_latent_id[18],0.07327901963142078
geodesic_mapping.step_sizes_by_latent_id[19],0.103076837818519
geodesic_mapping.step_sizes_by_latent_id[20],0.11177910299114864
geodesic_mapping.step_sizes_by_latent_id[21],0.059165565533714645
geodesic_mapping.step_sizes_by_latent_id[22],0.03389880067350979
geodesic_mapping.step_sizes_by_latent_id[23],0.09255980222798162
geodesic_mapping.step_sizes_by_latent_id[24],0.09581694991482273
geodesic_mapping.step_sizes_by_latent_id[25],0.013621038963794269
geodesic_mapping.step_sizes_by_latent_id[26],0.06374437320031075
geodesic_mapping.step_sizes_by_latent_id[27],0.10715822441992917
geodesic_mapping.step_sizes_by_latent_id[28],0.09795757492910327
geodesic_mapping.step_sizes_by_latent_id[29],0.07714790316891632
geodesic_mapping.step_sizes_by_latent_id[30],0.04533717035211895
geodesic_mapping.step_sizes_by_latent_id[31],0.08551150024943427
geodesic_mapping.step_sizes_by_latent_id[32],0.08076603623073517
geodesic_mapping.step_sizes_by_latent_id[33],0.072595155894562
geodesic_mapping.step_sizes_by_latent_id[34],0.038702097781697496
geodesic_mapping.step_sizes_by_latent_id[35],0.11053693346706683
geodesic_mapping.step_sizes_by_latent_id[36],0.09842939556342555
geodesic_mapping.step_sizes_by_latent_id[37],0.04590436755080253
geodesic_mapping.step_sizes_by_latent_id[38],0.0682756153990943
geodesic_mapping.step_sizes_by_latent_id[39],0.09515206717707744
geodesic_mapping.step_sizes_by_latent_id[40],0.08914163048132825
geodesic_mapping.step_sizes_by_latent_id[41],0.06041166336037003
geodesic_mapping.step_sizes_by_latent_id[42],0.054928493981836045
geodesic_mapping.step_sizes_by_latent_id[43],0.1024821233697605
geodesic_mapping.step_sizes_by_latent_id[44],0.1054070017778921
geodesic_mapping.step_sizes_by_latent_id[45],0.022044362366349792
