appearance,camera_hits,center_of_mass_error_normalized,cone_power,depth_rmse_on_overlap,depth_tolerance,detector_seconds,edge_f1,emitted_photons,emitters,footprint,foreground_fraction,maximum_contributors_per_pixel,maximum_pixels_per_surface_sample,mean_pixels_per_responsive_surface_sample,name,occupied_pixels,operator_density,operator_nnz,packets_per_emitter,peak_allocated_mib,phase,pixel_mse,projected_surface_points,psnr,reduction,reference_foreground_fraction,resolution,runtime_seconds,scene_seconds,selection_score,shared_surface_build_seconds,silhouette_f1,silhouette_iou,silhouette_precision,silhouette_recall,ssim,surface_hits,surface_samples,surviving_packets,transport_nnz,view
shaded,,0.003947024150005258,,0.05067063404320957,,,0.9788328725595893,,,bilinear,0.280242919921875,1,4,1.2481141692150866,best_view_1,,2.138083800673485e-06,18366,,42.62548828125,multiview_best,0.003833740988518977,131072,24.163772318483446,nearest_depth,0.26556396484375,256,0.00369410403072834,,,,0.9731059547106513,0.9476206032886856,0.9476206032886856,1.0,0.8885046672418095,,131072,,,1
shaded,,0.0010707572818943146,,0.049258077865794815,,,0.9940612151667428,,,bilinear,0.320953369140625,1,4,1.2621662166216623,best_view_2,,2.448679879307747e-06,21034,,42.62548828125,multiview_best,0.0038421045193855227,131072,24.154308249051006,nearest_depth,0.3079071044921875,256,0.0036728871054947376,,,,0.9792541188459952,0.959351526100599,0.959351526100599,1.0,0.8910116248679333,,131072,,,2
shaded,,0.0013864054961231496,,0.03794110547211732,,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,best_view_3,,2.395245246589184e-06,20575,,42.62548828125,multiview_best,0.0032103240861379653,131072,24.93451122823552,nearest_depth,0.3010406494140625,256,0.003608942963182926,,,,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.8998281773612948,,131072,,,3
shaded,,0.001665003785982793,,0.06926010311838735,,,1.0,,,bilinear,0.2570037841796875,1,4,1.246152707901746,best_view_4,,1.960783265531063e-06,16843,,43.12548828125,multiview_best,0.0033100884461554543,131072,24.80160401642991,nearest_depth,0.24493408203125,256,0.003620490897446871,,,,0.9759537923696611,0.9530368699162857,0.9530368699162857,1.0,0.8981510811480503,,131072,,,4
shaded,,0.003769167324694561,,0.059779545530476166,,,0.9936395759717315,,,bilinear,0.2671661376953125,1,4,1.241156872474658,best_view_5,,2.0383158698678017e-06,17509,,43.62548828125,multiview_best,0.004080926135323458,131072,23.892412658765068,nearest_depth,0.2535552978515625,256,0.003622477874159813,,,,0.9738615718220711,0.9490547718316295,0.9490547718316295,1.0,0.8863895035225077,,131072,,,5
shaded,,0.0008632851761418722,,0.03707061958491033,,,0.9852982025524866,,,bilinear,0.3050384521484375,1,4,1.263094711568838,best_view_6,,2.327258698642254e-06,19991,,43.8212890625,multiview_best,0.003925238567085906,131066,24.0613394268424,nearest_depth,0.292572021484375,256,0.0037423279136419296,,,,0.9791395378526746,0.9591316092241509,0.9591316092241509,1.0,0.8915724776824705,,131072,,,6
shaded,,0.0027432242450299345,,0.0574359190109264,,,0.9871073598600374,,,bilinear,0.31903076171875,1,4,1.2730926140169274,best_view_7,,2.434011548757553e-06,20908,,44.12548828125,multiview_best,0.003373305345463017,131072,24.719443454850705,nearest_depth,0.3040313720703125,256,0.0034444930497556925,,,,0.9759263340925233,0.9529845035393151,0.9529845035393151,1.0,0.8764555625382323,,131072,,,7
position,11683,0.0027660113570732903,128.0,inf,,0.004874893929809332,0.09990352530754869,262144,8192,,0.46038818359375,,,,legacy_current_view_0,9972,,,32,64.197265625,legacy_current,0.08737867430175655,,10.58594548637658,,0.2730560302734375,256,1.0058269249275327,1.0009520309977233,,,0.4254894210164977,0.27023598742105126,0.3389235052366432,0.5714445375803296,0.011589447080062864,4861,,10882,39748,0
position,10302,0.09979648948652584,128.0,inf,,0.004688523011282086,0.09579050053702327,262144,8192,,0.439056396484375,,,,legacy_current_view_1,9281,,,32,64.197265625,legacy_current,0.08672006461865207,,10.618804071950613,,0.26556396484375,256,1.0056405540090054,1.0009520309977233,,,0.30495040928580713,0.17990648235684903,0.2447000764579134,0.4045621696161802,0.022182493735361783,4861,,10019,36899,1
position,16970,0.04592562558696122,128.0,inf,,0.0049565499648451805,0.09705446677732893,262144,8192,,0.589111328125,,,,legacy_current_view_2,14580,,,32,64.197265625,legacy_current,0.06521409662849607,,11.856585173624246,,0.3079071044921875,256,1.0059085809625685,1.0009520309977233,,,0.46231309643288476,0.30065489623434666,0.3519736842105263,0.6734228653550721,0.010016581485550692,4861,,16903,58124,2
