metric,value
version,0.8.6
scope,fixed latent continuous zero-set source experiment; no novelty or physical-radiometry claim
plane_source_integral.rows[1].epsilon_over_h_s,0.5
plane_source_integral.rows[1].epsilon_s,0.06250000000000001
plane_source_integral.rows[1].continuous_mean_mass,3.9999942329630596
plane_source_integral.rows[1].continuous_relative_bias,1.4417592351101405e-06
plane_source_integral.rows[1].continuous_translation_cv,4.68344367417382e-05
plane_source_integral.rows[1].continuous_max_adjacent_jump,0.00012916513315364142
plane_source_integral.rows[1].continuous_max_derivative_jump,0.01144266595241561
plane_source_integral.rows[1].hard_translation_cv,0.0014804966234584242
plane_source_integral.rows[1].hard_max_adjacent_jump,0.03125
plane_source_integral.rows[2].anchors,4096
plane_source_integral.rows[2].h_s,0.12500000000000003
plane_source_integral.rows[2].epsilon_over_h_s,0.25
plane_source_integral.rows[2].epsilon_s,0.03125000000000001
plane_source_integral.rows[2].continuous_mean_mass,3.999995092426332
plane_source_integral.rows[2].continuous_relative_bias,1.2268934169723522e-06
plane_source_integral.rows[2].continuous_translation_cv,0.0003496227114731983
plane_source_integral.rows[2].continuous_max_adjacent_jump,0.0013075861227438423
plane_source_integral.rows[2].continuous_max_derivative_jump,0.15991548028927127
plane_source_integral.rows[2].hard_translation_cv,0.00434555005133047
plane_source_integral.rows[2].hard_max_adjacent_jump,0.06249999999999911
plane_source_integral.rows[3].anchors,4096
plane_source_integral.rows[3].h_s,0.12500000000000003
plane_source_integral.rows[3].epsilon_over_h_s,0.125
plane_source_integral.rows[3].epsilon_s,0.015625000000000003
plane_source_integral.rows[3].continuous_mean_mass,4.000007988901034
plane_source_integral.rows[3].continuous_relative_bias,1.9972252585098715e-06
plane_source_integral.rows[3].continuous_translation_cv,0.0007264313884750653
plane_source_integral.rows[3].continuous_max_adjacent_jump,0.005076016265563865
plane_source_integral.rows[3].continuous_max_derivative_jump,0.8849121844411343
plane_source_integral.rows[3].hard_translation_cv,0.01056898458891966
plane_source_integral.rows[3].hard_max_adjacent_jump,0.12499999999999911
plane_source_integral.rows[4].anchors,4096
plane_source_integral.rows[4].h_s,0.12500000000000003
plane_source_integral.rows[4].epsilon_over_h_s,0.0625
plane_source_integral.rows[4].epsilon_s,0.007812500000000002
plane_source_integral.rows[4].continuous_mean_mass,3.9999985150036914
plane_source_integral.rows[4].continuous_relative_bias,3.712490771468069e-07
plane_source_integral.rows[4].continuous_translation_cv,0.0022225194576415436
plane_source_integral.rows[4].continuous_max_adjacent_jump,0.03543498025624903
plane_source_integral.rows[4].continuous_max_derivative_jump,5.252738644941076
plane_source_integral.rows[4].hard_translation_cv,0.020141139135458792
plane_source_integral.rows[4].hard_max_adjacent_jump,0.2499999999999991
plane_source_integral.rows[5].anchors,4096
plane_source_integral.rows[5].h_s,0.12500000000000003
plane_source_integral.rows[5].epsilon_over_h_s,0.03125
plane_source_integral.rows[5].epsilon_s,0.003906250000000001
plane_source_integral.rows[5].continuous_mean_mass,4.001392569285622
plane_source_integral.rows[5].continuous_relative_bias,0.00034814232140556456
plane_source_integral.rows[5].continuous_translation_cv,0.0067032591837951246
plane_source_integral.rows[5].continuous_max_adjacent_jump,0.08408413195219344
plane_source_integral.rows[5].continuous_max_derivative_jump,9.91372113156865
plane_source_integral.rows[5].hard_translation_cv,0.032859543170070504
plane_source_integral.rows[5].hard_max_adjacent_jump,0.4999999999999991
plane_source_integral.rows[6].anchors,8192
plane_source_integral.rows[6].h_s,0.09921256574801247
plane_source_integral.rows[6].epsilon_over_h_s,1.0
plane_source_integral.rows[6].epsilon_s,0.09921256574801247
plane_source_integral.rows[6].continuous_mean_mass,3.9999975668123855
plane_source_integral.rows[6].continuous_relative_bias,6.08296903625849e-07
plane_source_integral.rows[6].continuous_translation_cv,1.2124938202600986e-05
plane_source_integral.rows[6].continuous_max_adjacent_jump,1.8145739576702624e-05
plane_source_integral.rows[6].continuous_max_derivative_jump,0.0013270560496039252
plane_source_integral.rows[6].hard_translation_cv,0.0008519596819830239
plane_source_integral.rows[6].hard_max_adjacent_jump,0.0098431332023039
plane_source_integral.rows[7].anchors,8192
plane_source_integral.rows[7].h_s,0.09921256574801247
plane_source_integral.rows[7].epsilon_over_h_s,0.5
plane_source_integral.rows[7].epsilon_s,0.04960628287400624
plane_source_integral.rows[7].continuous_mean_mass,3.999991355635308
plane_source_integral.rows[7].continuous_relative_bias,2.161091173014107e-06
plane_source_integral.rows[7].continuous_translation_cv,5.4459910898364544e-05
plane_source_integral.rows[7].continuous_max_adjacent_jump,0.0001900876390203976
plane_source_integral.rows[7].continuous_max_derivative_jump,0.016243053258619966
plane_source_integral.rows[7].hard_translation_cv,0.0012829367944155348
plane_source_integral.rows[7].hard_max_adjacent_jump,0.0098431332023039
plane_source_integral.rows[8].anchors,8192
plane_source_integral.rows[8].h_s,0.09921256574801247
plane_source_integral.rows[8].epsilon_over_h_s,0.25
plane_source_integral.rows[8].epsilon_s,0.02480314143700312
plane_source_integral.rows[8].continuous_mean_mass,4.000001273858037
plane_source_integral.rows[8].continuous_relative_bias,3.184645092080274e-07
plane_source_integral.rows[8].continuous_translation_cv,0.00019844617951699967
plane_source_integral.rows[8].continuous_max_adjacent_jump,0.0008165468855683145
plane_source_integral.rows[8].continuous_max_derivative_jump,0.13173230138153258
plane_source_integral.rows[8].hard_translation_cv,0.002693792657545787
plane_source_integral.rows[8].hard_max_adjacent_jump,0.03937253280921471
plane_source_integral.rows[9].anchors,8192
plane_source_integral.rows[9].h_s,0.09921256574801247
plane_source_integral.rows[9].epsilon_over_h_s,0.125
plane_source_integral.rows[9].epsilon_s,0.01240157071850156
plane_source_integral.rows[9].continuous_mean_mass,4.000000245185229
plane_source_integral.rows[9].continuous_relative_bias,6.129630714113432e-08
plane_source_integral.rows[9].continuous_translation_cv,0.0004327029396066819
plane_source_integral.rows[9].continuous_max_adjacent_jump,0.003702466625731038
plane_source_integral.rows[9].continuous_max_derivative_jump,0.5885800683086586
plane_source_integral.rows[9].hard_translation_cv,0.0051407542677259855
plane_source_integral.rows[9].hard_max_adjacent_jump,0.07874506561842942
plane_source_integral.rows[10].anchors,8192
plane_source_integral.rows[10].h_s,0.09921256574801247
plane_source_integral.rows[10].epsilon_over_h_s,0.0625
plane_source_integral.rows[10].epsilon_s,0.00620078535925078
plane_source_integral.rows[10].continuous_mean_mass,3.9999921691922506
plane_source_integral.rows[10].continuous_relative_bias,1.957701937338463e-06
plane_source_integral.rows[10].continuous_translation_cv,0.0007680013809036361
plane_source_integral.rows[10].continuous_max_adjacent_jump,0.009502540832128759
plane_source_integral.rows[10].continuous_max_derivative_jump,1.3133747857086178
plane_source_integral.rows[10].hard_translation_cv,0.012393258833563816
plane_source_integral.rows[10].hard_max_adjacent_jump,0.15749013123685884
plane_source_integral.rows[11].anchors,8192
plane_source_integral.rows[11].h_s,0.09921256574801247
plane_source_integral.rows[11].epsilon_over_h_s,0.03125
plane_source_integral.rows[11].epsilon_s,0.00310039267962539
plane_source_integral.rows[11].continuous_mean_mass,3.999967000866045
plane_source_integral.rows[11].continuous_relative_bias,8.249783488789575e-06
plane_source_integral.rows[11].continuous_translation_cv,0.00611949868969912
plane_source_integral.rows[11].continuous_max_adjacent_jump,0.05967699148640504
plane_source_integral.rows[11].continuous_max_derivative_jump,6.415286470671447
plane_source_integral.rows[11].hard_translation_cv,0.01773728325034255
plane_source_integral.rows[11].hard_max_adjacent_jump,0.1574901312368593
plane_source_integral.rows[12].anchors,16384
plane_source_integral.rows[12].h_s,0.07874506561842959
plane_source_integral.rows[12].epsilon_over_h_s,1.0
plane_source_integral.rows[12].epsilon_s,0.07874506561842959
plane_source_integral.rows[12].continuous_mean_mass,4.000000001478831
plane_source_integral.rows[12].continuous_relative_bias,3.6970781991385593e-10
plane_source_integral.rows[12].continuous_translation_cv,1.3573955624345673e-08
plane_source_integral.rows[12].continuous_max_adjacent_jump,3.749198285163402e-08
plane_source_integral.rows[12].continuous_max_derivative_jump,3.6137803931524104e-06
plane_source_integral.rows[12].hard_translation_cv,0.0004597071540633197
plane_source_integral.rows[12].hard_max_adjacent_jump,0.006200785359251171
plane_source_integral.rows[13].anchors,16384
plane_source_integral.rows[13].h_s,0.07874506561842959
plane_source_integral.rows[13].epsilon_over_h_s,0.5
plane_source_integral.rows[13].epsilon_s,0.039372532809214794
plane_source_integral.rows[13].continuous_mean_mass,3.9999999968611673
plane_source_integral.rows[13].continuous_relative_bias,7.847081873180173e-10
plane_source_integral.rows[13].continuous_translation_cv,6.45878093738189e-08
plane_source_integral.rows[13].continuous_max_adjacent_jump,4.1834507680249544e-07
plane_source_integral.rows[13].continuous_max_derivative_jump,3.664708682293844e-05
plane_source_integral.rows[13].hard_translation_cv,0.0008538917654734691
plane_source_integral.rows[13].hard_max_adjacent_jump,0.01240157071850101
plane_source_integral.rows[14].anchors,16384
plane_source_integral.rows[14].h_s,0.07874506561842959
plane_source_integral.rows[14].epsilon_over_h_s,0.25
plane_source_integral.rows[14].epsilon_s,0.019686266404607397
plane_source_integral.rows[14].continuous_mean_mass,3.9999999683220544
plane_source_integral.rows[14].continuous_relative_bias,7.919486399998732e-09
plane_source_integral.rows[14].continuous_translation_cv,3.441832673403685e-07
