active_jacobian_seconds,active_k,cg_failures,cg_iterations,condition,expansion_geometry_l2_difference,expansion_geometry_max_difference,expansion_image_l2_difference,expansion_image_max_difference,expansion_loss_difference,geometry_evaluation_seconds,line_search_failures,linear_solve_seconds,minimum_denominator_magnitude,mutual_column_cosine_max,mutual_column_cosine_median,near_null_candidate_fraction,normal_consistency,normal_error,normalized_image_mse,normalized_residual_energy,numerical_rank_relative_1e-10,numerical_rank_relative_1e-6,numerical_rank_relative_1e-8,occupied_owner_event_fraction,occupied_pixel_fraction,occupied_pixels,optimization_seconds,optimizer_steps,packets_per_emitter,peak_allocated_mib,peak_reserved_mib,photon_state_transport_event_fraction,photons,photons_per_occupied_pixel,point_to_surface_mean,point_to_surface_p95,raw_image_loss,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean,render_evaluation_seconds,residual_energy,residual_norm,resolution,responsive_candidate_fraction,root_failures,sigma,stable_rank,start_mode,surface_rms,symmetric_chamfer,total_runtime_seconds
0.37487591756507754,256,0,96,A,0.0,0.0,0.0,0.0,0.0,0.04646700108423829,0,0.853929084027186,0.13429006269768803,1.0000000000000002,0.0,0.056640625,0.9687026179490512,0.031297382050948785,0.00030006396106870074,0.04317139379488816,986,960,964,0.17077720529065632,0.05259895324707031,27577,6.052034204127267,16,8,490.77001953125,540.0,0.0050334930419921875,65536,1.0350654530949706,0.004740011897368567,0.014821894885071834,235.97990103118045,0.007276056358866853,0.0033118187774017083,0.007139786073501145,0.0030198828928234625,4.818748178426176,471.9598020623609,21.72463583267533,256,0.9482421875,0,2.5,7.248207499719741,cold,0.008005529592682118,0.011023902411091193,6.176079362165183
0.3957672854885459,512,0,96,A,0.0,0.0,0.0,0.0,0.0,0.017885891953483224,0,0.9906207383610308,0.1304220044117794,1.0000000000000002,0.0,0.056640625,0.9690152779587624,0.03098472204123759,0.0002914615958389007,0.0419337373446418,986,960,964,0.17077720529065632,0.05259895324707031,27577,6.182084816973656,16,8,524.4970703125,564.0,0.0050334930419921875,65536,1.0350654530949706,0.00442082505378523,0.014302071194040953,229.21472573877836,0.006811319089403741,0.0030077560694307835,0.006836009522636712,0.0027342171382787953,4.791398741304874,458.4294514775567,21.41096568297555,256,0.9482421875,0,2.5,7.248207499719741,cold,0.0077558450148115556,0.01080795493763427,6.27798344520852
0.026844840962439775,1024,0,6,A,0.0,0.0,0.0,0.0,0.0,0.017126705963164568,1,0.07154580601491034,0.10109181044192851,1.0000000000000002,0.0,0.056640625,0.9673167114963271,0.03268328850367286,0.0003431209895414429,0.049366179483959556,986,960,964,0.17077720529065632,0.05259895324707031,27577,0.472399729071185,1,8,493.662109375,542.0,0.0050334930419921875,65536,1.0350654530949706,0.005958215649007602,0.017796597246170127,269.84132604705604,0.010407573146411829,0.004628256140555319,0.008159041878397734,0.0037230467746256143,0.3729003279004246,539.6826520941121,23.231070833995407,256,0.9482421875,0,2.5,7.248207499719741,cold,0.009074577754735146,0.011958621996371467,0.5733593290206045
0.39538262388668954,512,0,96,A,2.277698416362294e-15,4.704140204225353e-16,5.385820133757438e-13,4.5380366131553274e-14,2.842170943040401e-14,0.017972409026697278,0,0.9898729447741061,0.1307385103030968,1.0000000000000002,0.0,0.056640625,0.9689941531819614,0.03100584681803864,0.0002913171974318766,0.04191296217233923,986,960,964,0.17077720529065632,0.05259895324707031,27577,6.203031036071479,16,8,553.61767578125,596.0,0.0050334930419921875,65536,1.0350654530949706,0.00450198582180519,0.014738042651558375,229.10116621074556,0.0068882438973026875,0.0030151159734919607,0.007040480487727982,0.002769071648463368,4.812853262061253,458.2023324214911,21.405661223645748,256,0.9482421875,0,2.5,7.248207499719741,warm,0.0078527680013207,0.01086915228139139,6.295384942088276
0.13392575201578438,1024,0,30,A,3.12177296798656e-15,5.578801654593729e-16,7.590146923688994e-13,6.222800053024002e-14,8.526512829121202e-14,0.01805480709299445,1,0.3597637501079589,0.1026021025220597,1.0000000000000002,0.0,0.056640625,0.9691051439083626,0.030894856091637446,0.00028226364203886846,0.040610391201392475,986,960,964,0.17077720529065632,0.05259895324707031,27577,2.047141168033704,5,8,582.57666015625,634.0,0.0050334930419921875,65536,1.0350654530949706,0.004284065559079936,0.014348169921266836,221.9811605359114,0.006542259966354347,0.0027625802357385677,0.006834580710995166,0.002593154486618761,1.5513385054655373,443.9623210718228,21.07041340533742,256,0.9482421875,0,2.5,7.248207499719741,warm,0.007719735361077541,0.010719812081259359,2.149632564978674
0.02298788703046739,256,0,6,C,0.0,0.0,0.0,0.0,0.0,0.018206489039584994,1,0.06651788577437401,0.10109181044192851,1.0,0.0,0.0556640625,0.9673167114963271,0.03268328850367286,0.00017744826674897843,0.1067297507872211,982,961,966,0.2820470547569281,0.013495445251464844,28302,0.46551063493825495,1,8,654.32470703125,706.0,0.00884246826171875,65536,1.008550632464137,0.005958215649007602,0.017796597246170127,558.2039812637304,0.010407573146411829,0.004628256140555319,0.008159041878397734,0.0037230467746256143,0.37504446879029274,1116.4079625274608,33.41269163846967,512,0.94921875,0,2.5,4.298571730945403,cold,0.009074577754735146,0.011958621996371467,0.5600492300000042
0.026617916068062186,512,0,6,C,0.0,0.0,0.0,0.0,0.0,0.01841774396598339,1,0.0764034001622349,0.10109181044192851,1.0,0.0,0.0556640625,0.9673167114963271,0.03268328850367286,0.00017744826674897843,0.1067297507872211,982,961,966,0.2820470547569281,0.013495445251464844,28302,0.4866169849410653,1,8,713.09033203125,770.0,0.00884246826171875,65536,1.008550632464137,0.005958215649007602,0.017796597246170127,558.2039812637304,0.010407573146411829,0.004628256140555319,0.008159041878397734,0.0037230467746256143,0.3825649672653526,1116.4079625274608,33.41269163846967,512,0.94921875,0,2.5,4.298571730945403,cold,0.009074577754735146,0.011958621996371467,0.5905734621919692
0.028420727932825685,1024,0,6,C,0.0,0.0,0.0,0.0,0.0,0.018154324032366276,1,0.08526659803465009,0.10109181044192851,1.0,0.0,0.0556640625,0.9673167114963271,0.03268328850367286,0.00017744826674897843,0.1067297507872211,982,961,966,0.2820470547569281,0.013495445251464844,28302,0.4978715288452804,1,8,770.6474609375,860.0,0.00884246826171875,65536,1.008550632464137,0.005958215649007602,0.017796597246170127,558.2039812637304,0.010407573146411829,0.004628256140555319,0.008159041878397734,0.0037230467746256143,0.38311877683736384,1116.4079625274608,33.41269163846967,512,0.94921875,0,2.5,4.298571730945403,cold,0.009074577754735146,0.011958621996371467,0.6021549580618739
0.02461361698806286,512,0,6,C,0.0,0.0,3.3350030627926397e-16,1.1102230246251565e-16,0.0,0.01825972693040967,1,0.07569214003160596,0.10109181044192851,1.0,0.0,0.0556640625,0.9673167114963271,0.03268328850367286,0.00017744826674897843,0.1067297507872211,982,961,966,0.2820470547569281,0.013495445251464844,28302,0.4841708999592811,1,8,808.75048828125,864.0,0.00884246826171875,65536,1.008550632464137,0.005958215649007602,0.017796597246170127,558.2039812637304,0.010407573146411829,0.004628256140555319,0.008159041878397734,0.0037230467746256143,0.38282717298716307,1116.4079625274608,33.41269163846967,512,0.94921875,0,2.5,4.298571730945403,warm,0.009074577754735146,0.011958621996371467,0.5909533048979938
0.027349965879693627,1024,0,6,C,0.0,0.0,2.368389951639684e-16,1.1102230246251565e-16,0.0,0.01827847003005445,1,0.085913976887241,0.10109181044192851,1.0,0.0,0.0556640625,0.9673167114963271,0.03268328850367286,0.00017744826674897843,0.1067297507872211,982,961,966,0.2820470547569281,0.013495445251464844,28302,0.48886999394744635,1,8,865.712890625,952.0,0.00884246826171875,65536,1.008550632464137,0.005958215649007602,0.017796597246170127,558.2039812637304,0.010407573146411829,0.004628256140555319,0.008159041878397734,0.0037230467746256143,0.3745981839019805,1116.4079625274608,33.41269163846967,512,0.94921875,0,2.5,4.298571730945403,warm,0.009074577754735146,0.011958621996371467,0.5867489660158753
