candidate_id,control_label,target_source_id,center_x,center_y,center_z,support_radius,visibility,jacobian_nnz,affected_pixels,jacobian_norm,local_residual,raw_alignment,quadratic_score,novelty_ratio,orthogonalized_score,rank_increase,actual_gain_new_only,actual_gain_joint,relative_gain_joint,geometry_error_improvement
15,ordinary,16,0.1329512488546472,-0.7347994631543643,0.6651268408176352,0.34,2,168,56,0.16977970549817925,0.0033619631425410535,5.7518144470423154e-05,1.1477255033678072e-07,0.9999993203019257,1.1477067932115536e-07,True,5.738649394917972e-08,5.323905290762279e-06,0.000453368038069629,1.1131284164938703e-06
16,ordinary,34,-0.3131667422143051,-0.42542216423430573,-0.8490833726726006,0.34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.323889985817468e-06,0.00045336673474576745,1.1117632430859576e-06
17,ordinary,27,0.5034341674337869,-0.8587385829142539,-0.09550960828455368,0.34,1,366,122,5.289154539051664,0.00991771932769134,0.03575552593428672,4.569975039120858e-05,0.8294330264382228,6.648513772371166e-05,True,2.2860154225026394e-05,1.0632644790257648e-05,0.0009054446021822771,1.3244532889616803e-06
18,ordinary,37,-0.542470476878346,-0.11866467374225946,0.8316516559960805,0.34,2,1341,447,21.61716871950861,0.01837451346210751,0.3505182964094632,0.00026292008265981057,0.90037778133506,0.00032432024202050033,True,0.0001314670022583425,6.585846214785668e-05,0.00560831197092569,-2.3306277457168145e-05
19,ordinary,59,-0.781523160711253,0.6014155656215718,-0.1658941430550751,0.34,3,519,173,6.487744897014806,0.015399477593538812,0.0945357970889707,0.00021232691567099832,0.9996285637097001,0.00021248473289618515,True,0.0001061747699490842,1.037485138078928e-05,0.0008834916774221861,-2.0674648793149453e-05
20,ordinary,28,-0.6493954550563431,-0.05762821491972857,0.7582641570042268,0.34,3,1482,494,11.504961309939047,0.02094290467554781,0.11913773677995304,0.00010723297781166384,0.6587485296753489,0.00024710982852630786,True,5.361979500955426e-05,2.866230748837205e-05,0.0024407973851636837,-2.294054843394734e-05
21,ordinary,29,-0.6964847622173039,-0.274207694803546,-0.6631132000719266,0.34,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,5.323889985817468e-06,0.00045336673474576745,1.1117632430859576e-06
22,ordinary,54,-0.7343576670114568,-0.4429620672921749,0.5142989634849882,0.34,2,702,234,6.209501372086698,0.014731019529482461,0.015211424718058274,6.001037352809725e-06,0.30265624514921596,6.54937062437762e-05,True,3.000517716100423e-06,6.268322871089485e-06,0.0005337918476844139,1.1485796528403446e-06
23,ordinary,10,-0.9303291520397493,-0.23475722283477124,-0.28173873569657837,0.34,1,540,180,6.708842330957842,0.011168522784317137,0.07454189828903424,0.00012345415916378377,0.989166900232813,0.00012617197217474658,True,6.172634032380539e-05,2.0465965806472017e-05,0.0017428211544221169,-1.7804992715814345e-06
24,ordinary,24,-0.4317413815667745,-0.901991649818433,-0.0032315786597334473,0.34,1,456,152,7.607829338332327,0.007392917044898366,0.05089322054848073,4.475054662777143e-05,0.8564364314310456,5.994867496052161e-05,True,2.23753659411869e-05,2.1135695023976123e-05,0.0017998533149875182,-7.53243897568482e-05
25,ordinary,58,-0.8637096818464182,0.31447999401769083,0.39383742692561907,0.34,2,1416,472,10.071085137370087,0.03448954112248438,0.2712091302799542,0.0007251971309520572,0.9983803253050871,0.0007275520739954164,True,0.0003625840984999018,0.00026802138172732706,0.022823908645645947,-2.2082243639814795e-05
26,ordinary,40,0.10221584878828856,-0.028108218222356002,-0.9943650478193882,0.34,1,72,24,0.014969660434450586,0.009112316401496068,0.0001364081765627253,8.303047625356504e-05,0.9997237640629257,8.307636589331483e-05,True,3.992322963495762e-06,5.323976070880157e-06,0.0004533740654952544,1.112202616768902e-06
27,ordinary,36,0.4621884557617948,0.791082276367677,0.40071269430536116,0.34,1,300,100,16.808743659532027,0.012419511003751988,0.045918179494047626,7.462748650767413e-06,0.18577639304735924,0.00021623090963271335,True,3.7313497358131e-06,1.2245607730354893e-05,0.0010427997585370976,-2.318417529873965e-05
28,ordinary,12,0.8218087228545028,-0.5358589253334353,0.19361207395394175,0.34,2,252,84,14.197874007571345,0.021180104783313013,0.27364776707619015,0.00037148149236903525,0.9399125908704352,0.0004204955929805913,True,0.00018573936612748324,0.00011967855860149472,0.010191472302542038,-1.9664321409115977e-05
29,ordinary,25,0.8365966574612397,0.5428428903521777,-0.07367244477262025,0.34,2,348,116,13.652714151647096,0.03990175587958059,0.3108171768454179,0.000518289043340332,0.5887486179916919,0.001495244076062497,True,0.000259561278613811,0.0006515820376917416,0.0554868003723296,-2.1215289856503755e-05
30,ordinary,0,-0.09053078491479638,0.9780802746027036,-0.1875184082051966,0.34,2,1017,339,9.30250551480873,0.007865695552035703,0.022588110342964235,5.896033315488573e-06,0.3532737478841526,4.724298400128444e-05,True,2.9481860213502464e-06,7.29133206578414e-06,0.0006209082868762725,1.1257657401625085e-06
31,ordinary,30,-0.5952134970343526,-0.7082369216876196,0.3796331857287787,0.34,3,444,148,5.259877830913726,0.01601360845487704,0.020145006018536773,1.4668425134700365e-05,0.9479296149090668,1.631660656342254e-05,True,7.334069552909772e-06,7.001746221136501e-06,0.0005962480123089468,1.2667912183096045e-06
32,ordinary,42,0.6844811505394499,0.5617649192611891,0.4646565721515845,0.34,2,378,126,12.624980566484687,0.005532139621827737,0.011205403170407094,7.877592973472345e-07,0.41886639387360575,4.489960476881494e-06,True,3.939770631157524e-07,5.690854901414452e-06,0.0004846163822767383,1.1157651826838627e-06
33,ordinary,53,0.6647212552243967,0.36534229327494494,0.6516676005430273,0.34,3,786,262,12.411689498394571,0.015540859591993469,0.0007298596257683527,3.4579353982415943e-09,0.8996635495885942,4.272251218127288e-09,True,1.7291865456875444e-09,5.325291131928062e-06,0.0004534860522070137,1.1117318408568333e-06
