active_after,active_before,active_dofs,batch_size,best_remaining_quadratic,birth_round,candidate_jacobian_nnz,cg_failures,coupling_candidates_before_pruning,coupling_rejections,fixed_k,image_loss,joint_to_independent_ratio,line_search_failures,median_affected_pixels,median_affected_views,method,near_null_candidate_fraction,nonfinite_candidate_score_count,normal_consistency,normal_error,normalized_rgb_mse,optimization_seconds,optimizer_steps,pairwise_max,pairwise_mean,peak_allocated_mib,peak_reserved_mib,point_to_surface_mean,point_to_surface_p95,predicted_joint_gain,predicted_quadratic_gain,predicted_raw_alignment,realized_gain,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean,relative_realized_gain,responsive_candidate_fraction,rgb_mae,rgb_psnr,rho_off,root_failures,round_optimization_seconds,round_scoring_seconds,scoring_seconds,selected_ids,silhouette_f1,silhouette_iou,surface_rms,symmetric_chamfer,target_point_rms,top10_error_region_fraction,top25_error_region_fraction,total_seconds
448,384,448,64,0.053849676116006384,10,7380504,0,64,0,,911.7401172785748,0.9880830542405818,0,275.0,4.0,observation_driven,0.0,0,0.9859609769669458,0.014039023033054154,0.0011593375107810653,5.576174691086635,15,0.31056571666850535,0.0005009459591600152,1512.48388671875,2130.0,0.0022142664367379213,0.005734616684754822,1.8058181613310538,1.8275975421104298,1035.7922633099797,2.0948087826365054,0.0022098580886244596,0.0015987713326390466,0.003984361348885506,0.001474249480792782,0.0022923273371324277,1.0,0.005365386703018088,29.357901121542657,0.05353756514223517,0,0.41254683281295,0.3478668271563947,3.4758328604511917,"[3193, 822, 106, 1993, 1378, 3313, 807, 178, 1090, 2731, 1474, 2913, 1256, 605, 1006, 1005, 1324, 1462, 2978, 2990, 949, 1659, 2162, 766, 789, 1412, 3270, 3306, 3441, 1779, 954, 4043, 2524, 1737, 1549, 3329, 1439, 130, 3957, 579, 778, 3223, 1708, 838, 4017, 797, 495, 1673, 861, 2265, 2651, 3287, 253, 1510, 531, 3606, 935, 2719, 1693, 513, 2537, 425, 1807, 1489]",0.9923804259144059,0.9848760366439819,0.005187313896064183,0.005153472482562948,0.0023784783985847215,0.421875,0.5625,10.424340785015374
512,448,512,64,0.0349190856586019,11,7380736,0,64,0,,909.6412710857686,0.9671354863192353,0,274.0,4.0,observation_driven,0.0,0,0.9859976275199291,0.014002372480070857,0.0011566686898368437,5.994135612156242,16,0.5536377509207736,0.0012874090865192124,1512.48388671875,2130.0,0.0021818181633745898,0.005565999864078206,1.494614027697494,1.5454029438892358,1015.2042831987249,2.0988461928061497,0.0021728811435508216,0.00157132457722408,0.003936530920026317,0.001449773612731247,0.002302022421774016,1.0,0.005327477576564277,29.367910202882626,0.17686548299569366,0,0.41796092106960714,0.34503517602570355,3.820868036476895,"[453, 1207, 135, 1428, 973, 1494, 986, 1002, 338, 2084, 1862, 386, 1368, 1442, 67, 2034, 177, 3572, 921, 1569, 2105, 2727, 787, 1253, 3087, 3970, 956, 3320, 1618, 733, 1054, 1309, 3536, 203, 211, 2546, 2011, 1642, 1804, 2737, 3614, 1629, 2945, 2676, 878, 1944, 2697, 1358, 1593, 1178, 2240, 3776, 772, 457, 1490, 3803, 4004, 780, 591, 114, 3220, 1757, 2955, 4056]",0.9923804259144059,0.9848760366439819,0.005166132700866112,0.005130693291538762,0.002331566214308678,0.1875,0.515625,11.317834428045899
640,512,640,128,0.059397960892254374,12,7381602,0,128,0,,907.0709907467624,0.9639423469949453,0,273.0,4.0,observation_driven,0.0,0,0.9860070060574799,0.013992993942520071,0.001153400409376478,6.430402304977179,17,0.5771543492419979,0.0006416537518411663,1512.48388671875,2130.0,0.002141946485197305,0.00548819738998011,2.4364163007158064,2.5275539645200196,1742.710317557954,2.570280339006217,0.0021707039025265305,0.0014806009207179408,0.0038844201642107513,0.0014168138876593894,0.0028255977611243077,1.0,0.005270478442193146,29.380198987809273,0.15480713415607328,0,0.43626669282093644,0.34889967390336096,4.169767710380256,"[471, 611, 717, 1394, 3475, 2198, 1867, 446, 1166, 3434, 1565, 1011, 2539, 264, 1483, 73, 1366, 435, 2371, 3932, 314, 3816, 1948, 4040, 3344, 691, 3430, 3019, 640, 1945, 183, 688, 2512, 2282, 3842, 352, 3764, 3938, 2318, 377, 1537, 2486, 3859, 2133, 2163, 1148, 315, 2112, 847, 1677, 1783, 1541, 1991, 1199, 1115, 3211, 597, 2628, 3846, 639, 844, 814, 3712, 2961, 4031, 1787, 3218, 1143, 840, 2958, 3209, 149, 2506, 62, 2720, 491, 3030, 445, 1753, 1509, 3907, 758, 499, 2259, 2518, 1028, 2224, 2416, 256, 3750, 1876, 455, 1985, 2249, 1598, 1883, 657, 3980, 1997, 2305, 2156, 410, 179, 282, 534, 1706, 2223, 1641, 2385, 61, 2147, 684, 1240, 3459, 971, 2626, 1788, 2311, 898, 500, 2881, 1089, 936, 3709, 2435, 39, 1553, 690]",0.9923804259144059,0.9848760366439819,0.005149589917404583,0.005104382765029888,0.002298054112369539,0.1953125,0.5390625,12.244634773116559
768,640,768,128,0.028073099760244385,13,7382547,0,128,0,,904.7602935313608,0.9760917565040077,0,271.0,4.0,observation_driven,0.0,0,0.9860111809050298,0.013988819094970184,0.0011504622059267183,6.879056232981384,18,0.6039162507906952,0.0005097973563407567,1512.48388671875,2130.0,0.002089166656371849,0.005315254244307904,1.8398855930161102,1.8849514717815936,1403.913019316626,2.3106972154015466,0.002054402686940922,0.0014264295693483793,0.003848398309529902,0.0013761386917319814,0.002547427091124614,1.0,0.005206419317535585,29.391276438593778,0.10477127730887309,0,0.4486539280042052,0.34450248605571687,4.514270196435973,"[2037, 354, 275, 1375, 3513, 83, 333, 1398, 628, 743, 3070, 2966, 4068, 2497, 1576, 893, 2691, 727, 1513, 1639, 1158, 544, 501, 1774, 724, 1186, 1470, 944, 2617, 509, 4059, 2925, 3941, 2329, 4002, 1451, 2129, 316, 527, 1665, 1888, 4091, 1444, 1682, 1216, 2609, 3101, 3530, 1611, 2128, 836, 3348, 871, 1316, 4036, 1658, 1981, 2839, 785, 2366, 2645, 2598, 2422, 908, 306, 950, 638, 1632, 1124, 2885, 2110, 2753, 2251, 702, 2822, 747, 892, 472, 1091, 2348, 1100, 1027, 189, 718, 2415, 608, 1951, 1370, 731, 2972, 444, 3872, 2369, 2235, 141, 3645, 328, 89, 1092, 843, 1307, 1728, 3910, 2864, 2471, 1238, 3251, 3794, 1387, 3247, 262, 2439, 2764, 2107, 1278, 1685, 2000, 3997, 2114, 3061, 4054, 3884, 303, 443, 1803, 958, 1543, 3011]",0.9923804259144059,0.9848760366439819,0.005118991070493502,0.005068860045930201,0.0022318372515588367,0.1484375,0.4296875,13.179360097041354
896,768,896,128,0.017305376283802222,14,7382200,0,128,0,,902.9723686779041,0.9882818780099987,0,270.0,4.0,observation_driven,0.0,0,0.9860354700893024,0.013964529910697632,0.0011481887419101768,7.427633496001363,19,0.6364511744240124,0.00040309848152869686,1512.48388671875,2130.0,0.0020756377752114237,0.005297279737476737,1.4343957342262068,1.451403456991948,1320.3103401065798,1.7879248534567296,0.0020707299789609417,0.0014125452025637857,0.0038373725913143928,0.0013519221162238057,0.001976130988770847,1.0,0.005175241059089172,29.39986715742443,0.12940453931567222,0,0.548577263019979,0.34556237678043544,4.8598325732164085,"[752, 107, 205, 257, 1217, 1805, 598, 786, 171, 740, 1511, 1527, 506, 708, 1710, 4026, 254, 2009, 660, 3650, 99, 2738, 2395, 3673, 2466, 2284, 860, 1548, 3732, 3229, 3934, 3538, 2550, 926, 385, 2985, 1393, 3714, 790, 2394, 1188, 2454, 34, 960, 383, 1080, 3616, 3950, 769, 3867, 1810, 3935, 2723, 336, 3033, 2516, 1110, 3793, 1478, 228, 3612, 3142, 802, 1455, 3405, 2099, 460, 1610, 3575, 1045, 2035, 2621, 589, 1334, 1219, 1194, 577, 1652, 1321, 2419, 3689, 1965, 3618, 3001, 1572, 2345, 1995, 359, 2179, 2308, 3725, 191, 3455, 334, 1497, 3352, 1726, 1330, 1776, 641, 982, 746, 3552, 2153, 678, 1839, 768, 630, 3561, 2969, 564, 3146, 3294, 3024, 1581, 3858, 3366, 1602, 1353, 2067, 341, 479, 3681, 1668, 682, 736, 1163, 2641]",0.9923804259144059,0.9848760366439819,0.005114350466244364,0.005060335527253736,0.002224263613765161,0.1171875,0.34375,14.213264518184587
1024,896,1024,128,0.01379655609530646,15,7382510,0,128,0,,902.442561431968,0.9954103216659548,0,269.0,4.0,observation_driven,0.0,0,0.9860308799281037,0.013969120071896324,0.0011475150571593831,8.160129121970385,20,0.5655805772704825,0.0003961272929539151,1513.63330078125,2130.0,0.002070040106208382,0.0052744659236929545,1.112755910345169,1.1178866504848175,1065.4220203930936,0.5298072459361265,0.0020761816981615996,0.0014035735742490524,0.0038290925887224598,0.0013450062019682346,0.000586736941587536,1.0,0.005163155445289028,29.402416071429187,0.08702591909294717,0,0.7324956259690225,0.34638231596909463,5.206214889185503,"[162, 65, 3028, 2335, 287, 397, 409, 3810, 2631, 371, 104, 2528, 2794, 1849, 1086, 238, 1724, 2633, 1697, 2688, 519, 730, 35, 1417, 1650, 1136, 587, 3549, 145, 3921, 2106, 284, 1436, 3168, 2534, 1798, 3187, 646, 2701, 557, 2936, 2877, 1059, 3222, 1892, 1974, 3377, 1419, 3421, 2780, 1587, 2686, 764, 716, 3076, 1743, 3324, 151, 1144, 3489, 3763, 1700, 1410, 1582, 3393, 2911, 3133, 4082, 4044, 2241, 3104, 85, 1773, 3628, 2751, 2057, 3325, 3085, 1147, 3373, 3952, 2258, 645, 2994, 3180, 3035, 1521, 2270, 694, 478, 3587, 4007, 951, 3995, 1578, 2813, 1404, 1790, 2214, 1842, 357, 3432, 483, 2704, 4083, 964, 952, 1009, 3517, 2417, 1053, 3337, 3433, 2754, 3156, 1396, 2468, 2567, 1032, 1021, 3022, 1523, 3716, 3308, 317, 4087, 2062, 3090]",0.9923804259144059,0.9848760366439819,0.005111760689715165,0.005056583083403083,0.0022186644725098537,0.1328125,0.328125,15.432719798991457
1152,1024,1152,128,0.008220415413835894,16,7383073,0,128,0,,902.3593376126462,0.997370150194907,0,269.0,4.0,observation_driven,0.0,0,0.9860143727636057,0.013985627236394294,0.0011474092326007159,9.158770769834518,21,0.2129251071121195,0.00027740566089172117,1513.63330078125,2130.0,0.002069002712402912,0.005273697915093619,0.896901768170685,0.8992667045383418,999.2908614440321,0.08322381932180178,0.002076491325271233,0.001402159472205915,0.0038277592505033633,0.0013437837291013794,9.222062752641541e-05,1.0,0.005161051698825521,29.402816598994445,0.05132542129723866,0,0.9986416478641331,0.34477896406315267,5.550993853248656,"[2659, 712, 1177, 2097, 1615, 1657, 160, 1233, 3648, 4055, 3593, 3118, 1725, 3825, 2604, 1464, 1415, 3792, 955, 988, 1447, 1055, 1858, 426, 490, 190, 3926, 277, 537, 1310, 3298, 51, 811, 1050, 1153, 2594, 3855, 2340, 2461, 1154, 2593, 3265, 57, 1289, 1022, 209, 857, 3886, 1881, 2589, 236, 1329, 1973, 225, 968, 1775, 3358, 2949, 3760, 1094, 734, 1975, 2761, 66, 3504, 1690, 2783, 3264, 2953, 3115, 3707, 3904, 1933, 1715, 428, 1627, 2895, 889, 469, 963, 3965, 2509, 4081, 4032, 2971, 3769, 3853, 3894, 1830, 522, 516, 3745, 3225, 4079, 1284, 3972, 804, 1424, 3775, 3323, 3661, 3903, 661, 3542, 2582, 327, 2828, 229, 3643, 590, 2667, 3457, 1701, 1435, 2465, 1423, 749, 2158, 2887, 2032, 1492, 1890, 1834, 2934, 1304, 2039, 540, 2554]",0.9923804259144059,0.9848760366439819,0.00511136191467426,0.005055915237621826,0.0022177439811031006,0.0625,0.25,16.919071835000068
1280,1152,1280,128,0.006404775548680671,17,7382981,0,128,0,,902.1557262257061,0.9817832274337654,0,269.0,4.0,observation_driven,0.0,0,0.9860239213787303,0.013976078621269705,0.0011471503273337124,10.100522480905056,22,0.7846471461882598,0.00044882885767809236,1513.63330078125,2130.0,0.0020663405604944033,0.00527511032706154,0.7226644060124858,0.736073285649239,898.6303742509167,0.2036113869401106,0.002076739546855875,0.0013982931767607266,0.0038244263993991033,0.0013408351884965635,0.00022564335343257057,1.0,0.005155509398808242,29.403796666204165,0.09797652989319716,0,0.9417517110705376,0.3464913519565016,5.897485205205157,"[3132, 416, 1484, 3390, 3077, 98, 1969, 1120, 3290, 604, 1988, 556, 2278, 3108, 2370, 643, 2350, 96, 2852, 3401, 3255, 3856, 1041, 3394, 815, 1465, 3824, 380, 2611, 1023, 821, 978, 2336, 1293, 100, 1246, 1691, 666, 2109, 2903, 965, 900, 3590, 2562, 2228, 300, 1485, 1778, 803, 1377, 3144, 2338, 561, 3902, 1956, 2257, 2209, 650, 685, 794, 3807, 1916, 2043, 1617, 2536, 3752, 1422, 636, 2566, 1105, 2121, 2662, 2135, 69, 961, 406, 2788, 618, 1269, 3947, 1640, 182, 192, 1260, 3585, 2886, 586, 1433, 1515, 3068, 274, 1684, 767, 1584, 2673, 1503, 433, 2174, 373, 705, 4028, 2384, 3346, 305, 312, 3820, 3987, 2623, 1759, 2358, 487, 728, 382, 461, 4048, 3336, 388, 243, 2975, 3300, 2601, 801, 2036, 1749, 1171, 310, 1427, 3267]",0.9923804259144059,0.9848760366439819,0.005110308743782423,0.005054206040399583,0.0022154287261934337,0.0703125,0.2578125,18.353579139104113
1408,1280,1408,128,0.005319035596199186,18,7382871,0,128,0,,902.1557262257061,0.9909685686344695,1,267.0,4.0,observation_driven,0.0,0,0.9860239213787303,0.013976078621269705,0.0011471503273337124,11.401787656825036,23,0.6555606062284975,0.0005074427318555325,1516.02197265625,2130.0,0.0020663405604944033,0.00527511032706154,0.6058815032493484,0.6114033506473756,807.5922181698072,0.0,0.002076739546855875,0.0013982931767607266,0.0038244263993991033,0.0013408351884965635,0.0,1.0,0.005155509398808242,29.403796666204165,0.12070941343343382,0,1.3012651759199798,0.34769961703568697,6.245184822240844,"[1982, 270, 2470, 1234, 1322, 783, 3410, 260, 2222, 3067, 272, 330, 1671, 615, 1227, 2924, 217, 1477, 1519, 862, 3777, 3399, 1544, 1512, 625, 102, 3796, 226, 276, 1328, 1244, 709, 3371, 2771, 349, 2277, 3219, 3483, 2992, 1135, 1869, 1622, 1150, 2443, 2545, 2880, 700, 1998, 1811, 3330, 603, 560, 1534, 3778, 1448, 1167, 1720, 810, 1372, 1860, 3252, 2399, 1823, 1707, 1181, 405, 981, 2993, 2510, 299, 1359, 4035, 3166, 395, 2298, 2846, 1927, 2193, 3521, 449, 1429, 2866, 3201, 832, 2974, 1637, 502, 3863, 2023, 1406, 1108, 1689, 1664, 2397, 320, 3533, 2558, 362, 3595, 617, 623, 1173, 895, 1819, 2493, 90, 2117, 669, 485, 3653, 3544, 1458, 2677, 1812, 2655, 2315, 3177, 2592, 805, 3506, 1303, 2431, 1204, 909, 2066, 1438, 1560, 2349]",0.9923804259144059,0.9848760366439819,0.005110308743782423,0.005054206040399583,0.002215428726193434,0.0625,0.21875,20.14744977816008
1536,1408,1536,128,0.004384949001431831,19,7382871,0,128,0,,902.155726225706,0.9947215432573409,2,266.0,4.0,observation_driven,0.0,0,0.9860239213787303,0.013976078621269705,0.0011471503273337122,12.70697500789538,24,0.5160197386616524,0.0002880173060896285,1516.02197265625,2130.0,0.0020663405604944033,0.00527511032706154,0.513325882189399,0.5160498288882422,737.4410557611768,1.1368683772161603e-13,0.002076739546855875,0.0013982931767607266,0.0038244263993991033,0.0013408351884965635,1.260168665084472e-16,1.0,0.005155509398808241,29.403796666204165,0.05425318654594827,0,1.3051873510703444,0.34998747566714883,6.595172297907993,"[2909, 673, 773, 3486, 1545, 946, 1251, 674, 1352, 916, 1954, 3029, 1128, 3089, 3057, 1155, 2491, 1060, 3469, 2729, 2984, 2899, 1218, 521, 4070, 2999, 2407, 852, 697, 381, 3479, 1666, 849, 2477, 1559, 2695, 2581, 1750, 2150, 184, 3568, 2368, 2692, 3524, 1018, 1340, 613, 3143, 1660, 3601, 432, 1426, 2088, 1583, 356, 159, 384, 2718, 1702, 1235, 658, 3515, 1600, 2983, 3046, 761, 3050, 546, 3634, 942, 3172, 1193, 3110, 2602, 3996, 980, 1450, 635, 2826, 1069, 574, 3317, 2028, 1082, 2263, 2817, 1688, 3642, 44, 1590, 427, 1096, 3574, 1259, 806, 1336, 3597, 585, 1335, 50, 1208, 1938, 1873, 3241, 1146, 4039, 2390, 1388, 493, 3217, 1016, 580, 3470, 279, 307, 1420, 429, 720, 1403, 2874, 2921, 3415, 2717, 999, 2022, 1747, 3797, 140]",0.9923804259144059,0.9848760366439819,0.005110308743782423,0.005054206040399583,0.002215428726193434,0.0625,0.234375,21.945002668071538
