method,target_regime,target_seed,selection_seed,active_k,birth_count,image_loss,residual_norm,geometry_rms_error,optimizer_steps,last_step_relative_improvement,gradient_norm,cumulative_scoring_seconds,cumulative_optimization_seconds,total_runtime_seconds,peak_allocated_mib,peak_reserved_mib,best_remaining_candidate_score,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_new_only_gain,responsive_candidate_fraction,zero_jacobian_candidate_fraction,median_affected_pixels,median_affected_views,candidate_jacobian_nnz,active_parameters_per_affected_pixel,active_bases_per_query,near_null_candidate_fraction,nonfinite_candidate_score_count,no_birth_continuation_gain,root_failures,minimum_denominator_magnitude,line_search_failures,cg_failures,symmetric_chamfer,point_to_surface_mean,point_to_surface_p95,surface_rms,normal_consistency,normal_error,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean
random,bunny,0,101,64,32,36.17072255455603,8.505377423084296,0.0028059312602773706,37,3.4452850889203525e-06,0.5205024233735928,1.610382380662486,15.34412540635094,31.642331606009975,287.29296875,340.0,1.0463407579319397,0.00015940003943733328,0.2501319821805821,0.00012461888042025748,0.0,0.9812500476837158,0.01875000074505806,384.0,2.0,2726211.0,3.146968816154614,2.9156494140625,0.02083333395421505,0.0,3.107836015203702e-05,0,0.3862234206252904,0,0,0.009282364087366688,0.0025578196711528176,0.006515518273376917,0.005815755879902775,0.9851150673028122,0.014884932697187825,0.003087375139372521,0.001691048210808527,0.004413112533652158,0.0016200741698101549
random,bunny,0,101,128,96,35.80618744988646,8.462409520920913,0.0027766910509385814,101,0.00018723758735110036,5.773537082466921,4.778816697187722,42.28636582638137,89.5981061779894,288.4384765625,340.0,1.0433539792809494,0.011606312449720765,5.641238909611389,0.006705519675698213,0.0,0.9799107313156128,0.0200892873108387,384.0,2.0,2725761.0,3.4387602883341506,3.2744140625,0.0223214291036129,0.0,8.852145388971167e-05,0,0.38627825092934986,0,0,0.009262710430907135,0.0025231496113519852,0.0064761281588880636,0.00579921255648326,0.985170814302938,0.014829185697062042,0.0029869866106832354,0.0016631107367072967,0.004374459497359148,0.0016063041419786535
random,bunny,0,101,192,160,35.2351674405647,8.394661093881599,0.0027447462737894683,165,5.9511898052941585e-06,1.0910591494439823,7.9458220230881125,69.50465825758874,147.85275817289948,290.81591796875,340.0,1.0460199949327293,0.00018052537705179849,0.7384568694519706,0.00020969241718660214,0.0,0.9807692766189575,0.01923076994717121,388.0,2.0,2725377.0,3.8356842007223353,3.6573486328125,0.02163461595773697,0.0,6.731828946016094e-05,0,0.38629584518490845,0,0,0.009249004902311946,0.0025003795044364896,0.0064638699121242465,0.005780299503681807,0.9852297642402645,0.014770235759735462,0.0029371703502499534,0.001664039526585208,0.0043699510498365155,0.0015764157610251095
random,bunny,0,101,256,224,34.72075698444651,8.333157502945268,0.0027318642688685243,229,4.287344055021052e-05,0.950875031650926,11.111656243214384,96.68140462576412,206.1808209239971,296.8037109375,340.0,1.0293864861260236,0.006239920978123718,0.6254411435299007,0.0014886621345056028,0.002869760694125034,0.9830729365348816,0.01692708395421505,388.0,2.0,2724364.0,4.212541546187012,4.044921875,0.01953125,0.0,0.001028681311247226,0,0.38892966639969045,0,0,0.009242750421790057,0.0024900948418476,0.006501358821374217,0.0057750307896650525,0.9853167356927112,0.014683264307288835,0.002864786488114225,0.0016370597435358888,0.004376682699089628,0.001580501761036378
random,bunny,0,211,32,0,36.572362562666164,8.55246894910074,0.0028336085124495633,5,3.576415355907623e-08,0.32525648374862676,0.051318285055458546,2.017375997034833,2.5688341199420393,260.583984375,328.0,1.046849599209172,,,,,0.9808467626571655,0.019153226166963577,388.0,2.0,2726522.0,2.824718008771833,2.6119384765625,0.021169353276491165,0.0,1.7555208415842571e-06,0,0.38623930760295966,0,0,0.009293792131943443,0.002578329746078151,0.0067544522584080495,0.0058290160577305255,0.9850810164076027,0.014918983592397295,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833
random,bunny,0,211,64,32,36.27572847715771,8.517714303398266,0.002831245148758435,37,6.263356442129615e-05,2.172900110208459,1.631645161891356,15.43910235655494,31.739513674983755,286.06640625,340.0,1.032665575617416,0.0041993958653934686,1.9854437189418273,0.0022722204937792867,0.0,0.9802083969116211,0.01979166828095913,388.0,2.0,2726323.0,3.008728461017532,2.8797607421875,0.02187500149011612,0.0,5.9577874800709196e-05,0,0.38652292885314554,0,0,0.009289306288678925,0.002571396682110284,0.006669571655159931,0.0058226687792491,0.9850804791708336,0.014919520829166366,0.0030421422252071254,0.0016880078245864513,0.004447331786744339,0.0016450527114023625
random,bunny,0,211,128,96,35.54635379467452,8.431649161898818,0.0027968115743978975,101,1.9365032917638174e-05,2.8842029925774555,4.782214792678133,42.493346120463684,89.8657428198494,289.60693359375,340.0,1.0308989788768896,0.0009206165960723487,1.0368554257639273,0.0006883696416437601,0.0,0.981026828289032,0.01897321455180645,382.0,2.0,2723606.0,3.4117376919142894,3.354248046875,0.0212053582072258,0.0,0.0003693071414900828,0,0.3865464607936248,0,0,0.009265875180338428,0.002527479397907312,0.006565631303267076,0.005806646698586206,0.9850834322984915,0.01491656770150851,0.0029169411797977363,0.0016741509361061892,0.0043858890818518305,0.0016283412567514735
random,bunny,0,211,192,160,34.9915664275427,8.365592199903448,0.002752488434451902,165,2.657768494910661e-05,1.3224958693068614,7.94333630008623,69.5044394149445,147.8624351278413,291.78857421875,340.0,1.0037493270310587,0.0017722940099190287,0.7982107741651334,0.0009300195461676708,1.4210854715202004e-14,0.9807692766189575,0.01923076994717121,382.0,2.0,2723010.0,3.812024463563802,3.7874755859375,0.02163461595773697,0.0,0.0004633748981603958,0,0.3869100067680299,0,0,0.00924443598634062,0.0024900745839240325,0.006467781404463518,0.005785034878401206,0.9850393810353728,0.014960618964627193,0.0028838949034729836,0.0016542705499046045,0.004336818128809526,0.001591475044759809
random,bunny,0,211,256,224,34.083877783810884,8.256376660958594,0.002724910698776785,229,0.0001512554947829724,14.271258359381525,11.108377827331424,96.65445986529812,206.0039850778412,294.8251953125,360.0,0.7681521315119102,0.0013839986517776236,5.306238425406233,0.005156153694912291,0.0,0.9817708730697632,0.0182291679084301,377.0,2.0,2722776.0,4.208914022022393,4.2352294921875,0.02083333395421505,0.0,0.0004933309048240631,0,0.47489262791728915,0,0,0.009226629220764383,0.0024603178333855243,0.006480817686811693,0.005774224378602928,0.985130239132753,0.014869760867247006,0.002733627488082134,0.0016321101915173686,0.004335776781119627,0.0015820671278044475
random,bunny,0,307,32,0,36.572362562666044,8.552468949100726,0.0028336085124495447,5,3.576415530763283e-08,0.32525648378216737,0.04909881902858615,1.7845897621009499,2.3262899888213724,260.583984375,328.0,1.046849599209204,,,,,0.9808467626571655,0.019153226166963577,388.0,2.0,2726522.0,2.824718008771833,2.6119384765625,0.021169353276491165,0.0,1.7555207492137015e-06,0,0.38623930760295944,0,0,0.009293792131943443,0.002578329746078151,0.0067544522584080495,0.0058290160577305255,0.9850810164076027,0.014918983592397295,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833
random,bunny,0,307,64,32,36.28260259825376,8.518521303401636,0.002818440345345898,37,7.307812276159843e-06,2.1263191957994945,1.6175988898612559,15.187317643780261,31.398538421839476,286.53173828125,340.0,1.0271876175124557,0.09347264915903121,0.3038950635360096,0.00026514838634739135,0.008701709020606074,0.9812500476837158,0.01875000074505806,388.0,2.0,2725975.0,2.9910173794180825,2.8194580078125,0.02083333395421505,0.0,7.69753306713028e-05,0,0.387400745248387,0,0,0.00928264055729335,0.002559034280426173,0.00670258946316715,0.005818584593404546,0.9850634531930025,0.01493654680699752,0.003057198764008548,0.0016917699449903708,0.00442651456738587,0.0016246946809050534
random,bunny,0,307,128,96,35.793929426648766,8.46096087056887,0.00283269267770381,101,2.6673717396165412e-05,1.3017821126941265,4.76599522982724,42.0526275660377,89.05451595201157,288.46630859375,340.0,1.0242843053489232,0.0011756818764002085,0.8347516203975377,0.000954782625626649,0.0,0.9799107313156128,0.0200892873108387,388.0,2.0,2725180.0,3.283755483084489,3.17578125,0.0223214291036129,0.0,0.00014238835212410095,0,0.38742765691916015,0,0,0.009280422498447695,0.0025514218531914575,0.006758393598709522,0.005824207856692215,0.9850789081452707,0.01492109185472934,0.0029538422433032624,0.0017534817099208717,0.004428660425726235,0.001624635974639695
random,bunny,0,307,192,160,34.82858513770696,8.346087123641468,0.0028759571096203976,165,0.00011091072702004687,2.2186844089498874,7.9199298832099885,68.9607831609901,146.67969540390186,291.0380859375,340.0,1.0091655856272184,0.006423372244228293,1.9982233119349084,0.0038632921792398633,0.0,0.9807692766189575,0.01923076994717121,388.0,2.0,2722918.0,3.667153900789525,3.616455078125,0.020432693883776665,0.0,0.0005613349769220122,0,0.388087491031358,0,0,0.009286398877695261,0.0025519887427295166,0.006797117870585508,0.005840674331845292,0.98507495411855,0.01492504588145005,0.002875546476028626,0.001768750659091989,0.0045152476081943786,0.0016003971912402042
random,bunny,0,307,256,224,33.88081789938615,8.23174561066924,0.0028071349516476957,229,8.514620511993024e-05,6.048384073511883,11.080141214421019,95.96997911436483,204.50458357599564,294.16796875,340.0,0.852824170140979,0.005506831391489528,4.896680981508567,0.002885068723145423,0.0,0.98046875,0.01953125,388.0,2.0,2722749.0,3.9534272797621473,3.961669921875,0.02083333395421505,0.0,0.00047912546239103904,0,0.38506397739072734,0,0,0.009264765897414956,0.0025191719613489334,0.006676676083507294,0.005812446374415752,0.9853336345760504,0.014666365423949612,0.002667038904112228,0.0017606301758831275,0.004482067195541648,0.0016163425062701694
fixed_space,bunny,0,0,32,0,36.572362562666086,8.552468949100732,0.0028336085124495264,5,,,0.0,1.7793927730526775,1.863559844205156,260.2578125,284.0,,,,,,,,,,,,2.6119384765625,,,,0,0.3862393076029595,0,0,0.009293792131943443,0.002578329746078151,0.0067544522584080495,0.0058290160577305255,0.9850810164076027,0.014918983592397295,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833
fixed_space,bunny,0,0,64,0,34.995864119400785,8.366105918454629,0.002708213656893351,13,,,0.0,4.619972093962133,4.701634754892439,283.5439453125,324.0,,,,,,,,,,,,3.9130859375,,,,0,0.4747271940667492,0,0,0.009239756504821398,0.0024936840626561783,0.00641962630946303,0.005774742610407008,0.9851748813161101,0.014825118683889915,0.0026403983025758224,0.0017035880127630678,0.004426763491281317,0.0016148134561590015
fixed_space,bunny,0,0,128,0,34.006955187876436,8.247054648524701,0.002607986828311814,16,,,0.0,5.906374940881506,5.989396282937378,301.71044921875,334.0,,,,,,,,,,,,5.226806640625,,,,0,0.47881922483548583,0,0,0.009201943511590784,0.0024312699849008334,0.006091859348437139,0.005726941784535516,0.9852998326532043,0.01470016734679569,0.002574304692101764,0.0016885331111064013,0.0043363224458273925,0.0015568018795021142
fixed_space,bunny,0,0,256,0,32.50490300415189,8.06286586818259,0.002617090767321756,16,,,0.0,5.961090128170326,6.044351395918056,323.10009765625,354.0,,,,,,,,,,,,6.514892578125,,,,0,0.47897909296415214,0,0,0.00919148153412595,0.002406619460450208,0.006105488075066794,0.005721194159260366,0.9853998610089221,0.014600138991077927,0.0024027777987513876,0.0016204436869579183,0.004425620477410829,0.0015279406821061422
fixed_space,bunny,0,0,512,0,30.51063539126693,7.811611279533427,0.002510473971300689,16,,,0.0,6.205331516917795,6.281779133947566,345.84375,386.0,,,,,,,,,,,,7.78662109375,,,,0,0.4783420574893067,0,0,0.009136435593490401,0.0023099266392899546,0.005912149152714311,0.005670416086951208,0.9855277627815253,0.014472237218474682,0.002144774952384234,0.0015965528562512752,0.004380363516001582,0.0014361862612452248
fixed_space,bunny,0,0,1024,0,28.451992012239124,7.543472941853656,0.002342283979455186,16,,,0.0,6.358915234915912,6.442945316899568,366.11376953125,408.0,,,,,,,,,,,,9.0928955078125,,,,0,0.47713444599095434,0,0,0.009043003741748953,0.0021446478182354516,0.005770631637571089,0.005591476328907852,0.9855761722769716,0.014423827723028415,0.0017998974867188078,0.00139260635336413,0.004197580502767042,0.0013455651593870938
