ambient_emission,angular_bandwidth_radians,angular_neighbors,attenuation_name,center_of_mass_error_normalized,clipped_channel_fraction,cosine_power,depth_rmse_on_overlap,direct_support_fraction,distance_sigma,edge_f1,field_build_seconds,field_memory_mib,field_occupied_bins,foreground_fraction,foreground_luminance_p95_minus_p05,foreground_luminance_std,foreground_rgb_mae,foreground_rgb_std,interior_gradient_energy,interpolated_support_fraction,mean_readout_seconds,name,no_support_fraction,phase,pixel_mse,psnr,quantized_foreground_color_count,readout_seconds,reference_foreground_fraction,rgb_field_digest,rgb_mae,scene_field_readout_seconds,scene_retraversals,scene_seconds,sensor_gain,silhouette_f1,silhouette_iou,silhouette_precision,silhouette_recall,spatial_bandwidth_pixels,ssim,support_threshold,view,view_count,visibility_digest
1.0,0.12,4,strong_attenuation_no_lobe,0.0020278809967556894,0.0,0.0,inf,0.3109893798828125,0.9,0.9505736917030674,,97.97518920898438,2568116,0.3130035400390625,0.2102053705575107,0.06571620272000622,0.0037937504176510676,0.12273546852894002,0.003430602816528506,0.00201416015625,,ablation_strong_attenuation_no_lobe,0.6869964599609375,attenuation_ablation,0.0011409088467752007,29.427490522723346,249,0.016929453006014228,0.30145263671875,,0.004484274530254223,,,,1.5,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.65,0.9503824241725081,0.5,,,
0.35,0.12,4,cosine_lobe_no_attenuation,0.0020278809967556894,0.0712881262288955,1.0,inf,0.3109893798828125,0.0,0.9505736917030674,,97.97518920898438,2568116,0.3130035400390625,0.5636831891100613,0.15946449850689615,0.023236242073802583,0.1949424166165876,0.01998054955083943,0.00201416015625,,ablation_cosine_lobe_no_attenuation,0.6869964599609375,attenuation_ablation,0.002374981166391971,26.2433982998205,1551,0.017656117910519242,0.30145263671875,,0.011526609208242201,,,,1.5,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.65,0.9181699125722712,0.5,,,
0.35,0.12,4,selected_mild_attenuation_cosine_lobe,0.0020278809967556894,0.0,1.0,inf,0.3109893798828125,0.55,0.9505736917030674,,97.97518920898438,2568116,0.3130035400390625,0.3104148668459039,0.09529826434572039,0.014710516143392763,0.14160456784002687,0.012522098634490171,0.00201416015625,,ablation_selected_mild_attenuation_cosine_lobe,0.6869964599609375,attenuation_ablation,0.0007134699489133811,31.46624314484782,535,0.01734234602190554,0.30145263671875,,0.0067891507467790395,,,,1.5,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.65,0.9366956201624284,0.5,,,
,,,,0.04618433655819852,0.0004554425383330803,,inf,,,0.09284133641077479,,,,0.7035675048828125,0.5131172676821825,0.16567873065995378,,0.17453648126382432,0.15375558029963576,,,old_packet_hitmap,,operator_comparison,0.0651348128421111,11.861868304157127,1514,,0.30145263671875,,0.1814807543928267,,,,,0.44621574432551436,0.2871799882743795,0.3187013381335531,0.7438246608625227,,0.009251639212938383,,,,
,,,,0.0011439709709203788,0.0,,inf,,,1.0,,,,0.3139801025390625,0.42891552050530213,0.12702716574299253,,0.20582520587815983,0.003489224401702431,,,v04_projection_rgb,,operator_comparison,0.022790124176409812,16.42253308475498,957,,0.30145263671875,,0.06559058964951289,,,,,0.9796444598715691,0.9601010837342664,0.9601010837342664,1.0,,0.8109005938788015,,,,
,,,,0.0020278809967556894,0.0,,inf,,,0.9505736917030674,,,,0.3130035400390625,2.220446049250313e-16,1.61432268950097e-16,,1.6152281734409916e-16,8.718132724170016e-17,,,v05_constant_boundary_field,,operator_comparison,0.047451256128649526,13.237522864501688,1,,0.30145263671875,,0.11275393913408972,,,,,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,,0.7806270581998556,,,,
,,,,0.0020278809967556894,0.0,,inf,,,0.9505736917030674,,,,0.3130035400390625,0.3104148668459039,0.09529826434572039,,0.14160456784002687,0.012522098634490171,,,v06_meshfree_forward_rgb,,operator_comparison,0.0007134699489133814,31.46624314484782,535,,0.30145263671875,,0.0067891507467790395,,,,,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,,0.9366956201624261,,,,
,,,,0.0,0.0,,inf,,,1.0,,,,0.30145263671875,0.29959979600457237,0.09260062705779734,,0.14071424337570887,0.016409522418828256,,,rgb_evaluation_oracle,,operator_comparison,0.0,300.0,609,,0.30145263671875,,0.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,
,,,,,,,,,,,0.26068132487125695,,,,,,,,,,0.016108756884932518,view_scaling_1,,view_scaling,,,,0.016607081051915884,,37f710fb1b605f8f4429aa5d3ecb0911ea01e0ddce1cc49522c1b9c3f61ccd16,,32.89459525886923,0,32.61730685294606,,,,,,,,,,1,c2094ee0ac9b3a226b4a3d3411611cfa891bb368477fd365b84fdaa5412eae6e
,,,,,,,,,,,0.26068132487125695,,,,,,,,,,0.016421754786279052,view_scaling_4,,view_scaling,,,,0.06909661600366235,,37f710fb1b605f8f4429aa5d3ecb0911ea01e0ddce1cc49522c1b9c3f61ccd16,,32.94708479382098,0,32.61730685294606,,,,,,,,,,4,c2094ee0ac9b3a226b4a3d3411611cfa891bb368477fd365b84fdaa5412eae6e
,,,,,,,,,,,0.26068132487125695,,,,,,,,,,0.016773818497313187,view_scaling_8,,view_scaling,,,,0.13832448283210397,,37f710fb1b605f8f4429aa5d3ecb0911ea01e0ddce1cc49522c1b9c3f61ccd16,,33.01631266064942,0,32.61730685294606,,,,,,,,,,8,c2094ee0ac9b3a226b4a3d3411611cfa891bb368477fd365b84fdaa5412eae6e
