ambient_emission,assessment,attenuation,clipped_channel_fraction,continuous_shading_visible,cosine_power,direct_support_fraction,distance_sigma,ears_visible,f1,field_memory_mib,field_occupied_bins,foreground_luminance_p95_minus_p05,foreground_luminance_std,foreground_rgb_std,head_visible,interior_gradient_energy,interpolated_support_fraction,iou,key,label,legs_visible,normal_lighting,note,paired_oracle_center_of_mass_error_normalized,paired_oracle_depth_rmse_on_overlap,paired_oracle_edge_f1,paired_oracle_foreground_fraction,paired_oracle_pixel_mse,paired_oracle_psnr,paired_oracle_reference_foreground_fraction,paired_oracle_silhouette_f1,paired_oracle_silhouette_iou,paired_oracle_silhouette_precision,paired_oracle_silhouette_recall,paired_oracle_ssim,psnr,quantized_foreground_color_count,rgb_mae,ssim,tail_visible,torso_visible
1.0,weak internal structure,False,0.1798859259981475,False,0.0,0.3109893798828125,0.0,True,0.9809034244704363,97.97518920898438,2568116,0.40950059890516743,0.12951947458865015,0.16961826213815617,True,0.003239316512262172,0.00201416015625,0.9625225400847994,A,base color only,True,False,"All parts are identifiable from diagnostic color, but relief is nearly flat.",0.0020278809967556894,inf,0.9505736917030674,0.3130035400390625,0.007821150220234854,21.067293725709607,0.30145263671875,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.9417745363785016,12.4884096546792,732,0.12371871969380573,0.7800278700034919,True,True
1.0,weak internal structure,True,0.0,False,0.0,0.3109893798828125,0.55,True,0.9809034244704363,97.97518920898438,2568116,0.22424449008382968,0.06861679644275533,0.14125807085744932,True,0.003574172503387785,0.00201416015625,0.9625225400847994,B,attenuation only,True,False,"Distance darkening is visible, but local folds and contours remain weak.",0.0020278809967556894,inf,0.9505736917030674,0.3130035400390625,0.0024009919164642173,26.196093021007798,0.30145263671875,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.9459515321651294,22.65366732332189,393,0.027228612028690383,0.8447135273694966,True,True
0.35,strong internal structure,False,0.0712881262288955,True,1.0,0.3109893798828125,0.0,True,0.9809034244704363,97.97518920898438,2568116,0.5636831891100613,0.15946449850689615,0.1949424166165876,True,0.019980549550839426,0.00201416015625,0.9625225400847994,C,normal lighting only,True,True,"Normal shading clearly resolves the face, ears, shoulder, torso folds, leg, and tail.",0.0020278809967556894,inf,0.9505736917030674,0.3130035400390625,0.002374981166391971,26.2433982998205,0.30145263671875,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.9181699125722655,15.967239476668302,1551,0.08287204098196922,0.8725602346523744,True,True
0.35,strong internal structure,True,0.0,True,1.0,0.3109893798828125,0.55,True,0.9809034244704363,97.97518920898438,2568116,0.3104148668459039,0.09529826434572039,0.14160456784002687,True,0.012522098634490171,0.00201416015625,0.9625225400847994,D,attenuation + normal lighting,True,True,"The same parts remain clear, with additional propagation darkening.",0.0020278809967556894,inf,0.9505736917030674,0.3130035400390625,0.0007134699489133814,31.46624314484782,0.30145263671875,0.9809034244704363,0.9625225400847994,0.9628040754643397,0.9996962947965176,0.9366956201624252,31.46624314484782,535,0.0067891507467790395,0.9366956201624252,True,True
